country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
CO,CL,,,10.8,0.0,RE_PV_Rooftop_Lim_[CO]
CO,CL,,,10.8,0.4,RE_PV_Openfield_Lim_[CO]
CO,CL,,,10.8,2.5,RE_WIND_Onshore_Lim_[CO]
CO,CL,,,10.8,0.0,RE_WIND_Offshore_Lim_[CO]
CO,CL,,,10.8,0.7,PP_CO2_[CO]
CO,CL,,,10.8,0.3,BESS_[CO]
CO,CL,,,10.8,0.1,EL_to_HTH_[CO]
CO,CL,,,10.8,0.0,EL_to_NH3_[CO]
CO,CL,,,10.8,0.0,NH3_Storage_[CO]
CO,CL,,,10.8,0.0,NH3_to_EL_[CO]
CO,CL,,,10.8,0.0,NH3_to_HTH_[CO]
CO,CL,,,10.8,0.9,FF_to_HTH_[CO]
CO,CL,,,10.8,0.0,EL_Demand_[CO]
CO,CL,,,10.8,0.0,HTH_Demand_[CO]
CO,CL,,,10.8,0.0,RE_PV_Rooftop_Lim_[CL]
CO,CL,,,10.8,0.0,RE_PV_Openfield_Lim_[CL]
CO,CL,,,10.8,1.6,RE_WIND_Onshore_Lim_[CL]
CO,CL,,,10.8,0.0,RE_WIND_Offshore_Lim_[CL]
CO,CL,,,10.8,0.0,PP_CO2_[CL]
CO,CL,,,10.8,0.0,BESS_[CL]
CO,CL,,,10.8,0.2,EL_to_HTH_[CL]
CO,CL,,,10.8,0.0,EL_to_NH3_[CL]
CO,CL,,,10.8,0.0,NH3_Storage_[CL]
CO,CL,,,10.8,0.0,NH3_to_EL_[CL]
CO,CL,,,10.8,0.0,NH3_to_HTH_[CL]
CO,CL,,,10.8,0.3,FF_to_HTH_[CL]
CO,CL,,,10.8,0.0,EL_Demand_[CL]
CO,CL,,,10.8,0.0,HTH_Demand_[CL]
CO,CL,,,10.8,0.0,NH3_Transport_[CO-CL]
CO,CL,,,10.8,0.4,EL_Transport_[CO-CL]
CO,CL,,,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,CL,,,0.0,0.9,RE_PV_Openfield_Lim_[CO]
CO,CL,,,0.0,3.3,RE_WIND_Onshore_Lim_[CO]
CO,CL,,,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,CL,,,0.0,0.0,PP_CO2_[CO]
CO,CL,,,0.0,0.3,BESS_[CO]
CO,CL,,,0.0,0.1,EL_to_HTH_[CO]
CO,CL,,,0.0,0.3,EL_to_NH3_[CO]
CO,CL,,,0.0,0.6,NH3_Storage_[CO]
CO,CL,,,0.0,0.0,NH3_to_EL_[CO]
CO,CL,,,0.0,0.0,NH3_to_HTH_[CO]
CO,CL,,,0.0,0.0,FF_to_HTH_[CO]
CO,CL,,,0.0,0.0,EL_Demand_[CO]
CO,CL,,,0.0,0.0,HTH_Demand_[CO]
CO,CL,,,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
CO,CL,,,0.0,0.0,RE_PV_Openfield_Lim_[CL]
CO,CL,,,0.0,2.1,RE_WIND_Onshore_Lim_[CL]
CO,CL,,,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
CO,CL,,,0.0,0.0,PP_CO2_[CL]
CO,CL,,,0.0,0.0,BESS_[CL]
CO,CL,,,0.0,0.2,EL_to_HTH_[CL]
CO,CL,,,0.0,0.0,EL_to_NH3_[CL]
CO,CL,,,0.0,0.3,NH3_Storage_[CL]
CO,CL,,,0.0,0.0,NH3_to_EL_[CL]
CO,CL,,,0.0,0.0,NH3_to_HTH_[CL]
CO,CL,,,0.0,0.0,FF_to_HTH_[CL]
CO,CL,,,0.0,0.0,EL_Demand_[CL]
CO,CL,,,0.0,0.0,HTH_Demand_[CL]
CO,CL,,,0.0,0.0,NH3_Transport_[CO-CL]
CO,CL,,,0.0,1.4,EL_Transport_[CO-CL]
CO,CL,,,2.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,CL,,,2.0,0.6,RE_PV_Openfield_Lim_[CO]
CO,CL,,,2.0,3.3,RE_WIND_Onshore_Lim_[CO]
CO,CL,,,2.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,CL,,,2.0,0.1,PP_CO2_[CO]
CO,CL,,,2.0,0.4,BESS_[CO]
CO,CL,,,2.0,0.1,EL_to_HTH_[CO]
CO,CL,,,2.0,0.1,EL_to_NH3_[CO]
CO,CL,,,2.0,0.1,NH3_Storage_[CO]
CO,CL,,,2.0,0.0,NH3_to_EL_[CO]
CO,CL,,,2.0,0.0,NH3_to_HTH_[CO]
CO,CL,,,2.0,0.3,FF_to_HTH_[CO]
CO,CL,,,2.0,0.0,EL_Demand_[CO]
CO,CL,,,2.0,0.0,HTH_Demand_[CO]
CO,CL,,,2.0,0.0,RE_PV_Rooftop_Lim_[CL]
CO,CL,,,2.0,0.0,RE_PV_Openfield_Lim_[CL]
CO,CL,,,2.0,2.0,RE_WIND_Onshore_Lim_[CL]
CO,CL,,,2.0,0.0,RE_WIND_Offshore_Lim_[CL]
CO,CL,,,2.0,0.0,PP_CO2_[CL]
CO,CL,,,2.0,0.0,BESS_[CL]
CO,CL,,,2.0,0.1,EL_to_HTH_[CL]
CO,CL,,,2.0,0.0,EL_to_NH3_[CL]
CO,CL,,,2.0,0.1,NH3_Storage_[CL]
CO,CL,,,2.0,0.0,NH3_to_EL_[CL]
CO,CL,,,2.0,0.0,NH3_to_HTH_[CL]
CO,CL,,,2.0,0.0,FF_to_HTH_[CL]
CO,CL,,,2.0,0.0,EL_Demand_[CL]
CO,CL,,,2.0,0.0,HTH_Demand_[CL]
CO,CL,,,2.0,0.0,NH3_Transport_[CO-CL]
CO,CL,,,2.0,0.8,EL_Transport_[CO-CL]
CO,CL,,,4.0,0.0,RE_PV_Rooftop_Lim_[CO]
CO,CL,,,4.0,0.5,RE_PV_Openfield_Lim_[CO]
CO,CL,,,4.0,3.4,RE_WIND_Onshore_Lim_[CO]
CO,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_[CO]
CO,CL,,,4.0,0.3,PP_CO2_[CO]
CO,CL,,,4.0,0.4,BESS_[CO]
CO,CL,,,4.0,0.1,EL_to_HTH_[CO]
CO,CL,,,4.0,0.0,EL_to_NH3_[CO]
CO,CL,,,4.0,0.0,NH3_Storage_[CO]
CO,CL,,,4.0,0.0,NH3_to_EL_[CO]
CO,CL,,,4.0,0.0,NH3_to_HTH_[CO]
CO,CL,,,4.0,0.4,FF_to_HTH_[CO]
CO,CL,,,4.0,0.0,EL_Demand_[CO]
CO,CL,,,4.0,0.0,HTH_Demand_[CO]
CO,CL,,,4.0,0.0,RE_PV_Rooftop_Lim_[CL]
CO,CL,,,4.0,0.0,RE_PV_Openfield_Lim_[CL]
CO,CL,,,4.0,1.9,RE_WIND_Onshore_Lim_[CL]
CO,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_[CL]
CO,CL,,,4.0,0.0,PP_CO2_[CL]
CO,CL,,,4.0,0.0,BESS_[CL]
CO,CL,,,4.0,0.1,EL_to_HTH_[CL]
