Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time
0,CO2_Budget,0,0,0,720,1,0
1,RE_PV_Rooftop_Lim,0,0,0,720,1,0
2,RE_PV_Openfield_Lim,0,0,0,720,1,0
3,RE_WIND_Onshore_Lim,0,0,0,720,1,0
4,RE_WIND_Offshore_Lim,0,0,0,720,1,0
5,PP_CO2,0,0,0,720,1,0
6,BESS,0,0,0,720,1,0
7,EL_to_HTH,0,0,0,720,1,0
8,EL_to_NH3,0,0,0,720,1,0
9,NH3_Storage,0,0,0,720,1,0
10,NH3_to_EL,0,0,0,720,1,0
11,NH3_to_HTH,0,0,0,720,1,0
12,FF_to_HTH,0,0,0,720,1,0
13,EL_Demand,0,0,0,720,1,0
14,HTH_Demand,0,0,0,720,1,0
15,RE_PV_Openfield_Lim,10,10,0,720,1,0
16,RE_WIND_Onshore_Lim,10,10,0,720,1,0
17,PP_CO2,10,10,0,720,1,0
18,BESS,10,10,0,720,1,0
19,EL_to_HTH,10,10,0,720,1,0
20,EL_to_NH3,10,10,0,720,1,0
21,NH3_Storage,10,10,0,720,1,0
22,NH3_to_EL,10,10,0,720,1,0
23,NH3_to_HTH,10,10,0,720,1,0
24,FF_to_HTH,10,10,0,720,1,0
25,EL_Demand,10,10,0,720,1,0
26,HTH_Demand,10,10,0,720,1,0
27,NH3_Transport,0,10,0,720,96,108
28,EL_Transport,0,10,0,720,1,0
