"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","TCL (MW)"
"USEP","04 Jan 2019","24","109.91","0.00","6750.691","0.000"
"USEP","04 Jan 2019","25","106.15","0.00","6717.323","0.000"
"USEP","04 Jan 2019","26","106.68","0.00","6713.218","0.000"
"USEP","04 Jan 2019","27","108.97","0.00","6765.790","0.000"
"USEP","04 Jan 2019","28","110.77","0.00","6790.943","0.000"
"USEP","04 Jan 2019","29","108.44","0.00","6779.413","0.000"
"USEP","04 Jan 2019","30","108.44","0.00","6771.898","0.000"
"USEP","04 Jan 2019","31","111.47","0.00","6803.259","0.000"
"USEP","04 Jan 2019","32","110.13","0.00","6794.050","0.000"
"USEP","04 Jan 2019","33","108.05","0.00","6746.691","0.000"
"USEP","04 Jan 2019","34","106.05","0.00","6701.821","0.000"
"USEP","04 Jan 2019","35","102.72","0.00","6622.416","0.000"
"USEP","04 Jan 2019","36","97.17","0.00","6522.573","0.000"
"USEP","04 Jan 2019","37","93.71","0.00","6430.782","0.000"
"USEP","04 Jan 2019","38","93.94","0.00","6423.690","0.000"
"USEP","04 Jan 2019","39","94.44","0.00","6404.849","0.000"
"USEP","04 Jan 2019","40","93.75","0.00","6355.273","0.000"
"USEP","04 Jan 2019","41","93.75","0.00","6302.422","0.000"
"USEP","04 Jan 2019","42","107.58","0.00","6268.060","0.000"
"USEP","04 Jan 2019","43","104.76","0.00","6185.836","0.000"
"USEP","04 Jan 2019","44","95.97","0.00","6075.025","0.000"
"USEP","04 Jan 2019","45","91.37","0.00","5952.286","0.000"
"USEP","04 Jan 2019","46","89.84","0.00","5847.707","0.000"
"USEP","04 Jan 2019","47","85.22","0.00","5760.046","0.000"
"USEP","04 Jan 2019","48","83.84","0.00","5668.986","0.000"
"USEP","05 Jan 2019","1","91.01","0.00","5583.929","0.000"
"USEP","05 Jan 2019","2","91.09","0.00","5482.387","0.000"
"USEP","05 Jan 2019","3","93.66","0.00","5371.238","0.000"
"USEP","05 Jan 2019","4","91.10","0.00","5297.260","0.000"
"USEP","05 Jan 2019","5","90.08","0.00","5232.679","0.000"
"USEP","05 Jan 2019","6","89.47","0.00","5186.687","0.000"
"USEP","05 Jan 2019","7","87.86","0.00","5137.827","0.000"
"USEP","05 Jan 2019","8","87.37","0.00","5109.553","0.000"
"USEP","05 Jan 2019","9","87.26","0.00","5095.244","0.000"
"USEP","05 Jan 2019","10","86.77","0.00","5094.404","0.000"
"USEP","05 Jan 2019","11","87.83","0.00","5148.681","0.000"
"USEP","05 Jan 2019","12","88.12","0.00","5205.414","0.000"
"USEP","05 Jan 2019","13","87.40","0.00","5278.751","0.000"
"USEP","05 Jan 2019","14","89.38","0.00","5359.757","0.000"
"USEP","05 Jan 2019","15","90.14","0.00","5437.766","0.000"
"USEP","05 Jan 2019","16","93.56","0.00","5603.909","0.000"
"USEP","05 Jan 2019","17","104.78","0.00","5817.793","0.000"
"USEP","05 Jan 2019","18","115.25","0.00","5987.513","0.000"
"USEP","05 Jan 2019","19","150.68","0.00","6087.937","0.000"
"USEP","05 Jan 2019","20","277.43","0.00","6211.064","0.000"
"USEP","05 Jan 2019","21","290.17","0.00","6289.784","0.000"
"USEP","05 Jan 2019","22","310.04","0.00","6322.933","0.000"
"USEP","05 Jan 2019","23","310.04","0.00","6323.311","0.000"
"USEP","05 Jan 2019","24","283.56","0.00","6268.353","0.000"
"USEP","05 Jan 2019","25","275.74","0.00","6233.613","0.000"
"USEP","05 Jan 2019","26","266.69","0.00","6201.382","0.000"
"USEP","05 Jan 2019","27","263.33","0.00","6172.467","0.000"
"USEP","05 Jan 2019","28","266.52","0.00","6175.483","0.000"
"USEP","05 Jan 2019","29","263.31","0.00","6157.318","0.000"
"USEP","05 Jan 2019","30","124.44","0.00","6135.057","0.000"
"USEP","05 Jan 2019","31","115.41","0.00","6102.380","0.000"
"USEP","05 Jan 2019","32","662.08","0.00","6093.523","0.000"
"USEP","05 Jan 2019","33","485.70","0.00","6019.778","0.000"
"USEP","05 Jan 2019","34","427.24","0.00","5970.516","0.000"
"USEP","05 Jan 2019","35","290.11","0.00","5938.186","0.000"
"USEP","05 Jan 2019","36","283.48","0.00","5912.153","0.000"
"USEP","05 Jan 2019","37","290.02","0.00","5928.400","0.000"
"USEP","05 Jan 2019","38","310.45","0.00","5975.525","0.000"
"USEP","05 Jan 2019","39","473.56","0.00","6021.901","0.000"
"USEP","05 Jan 2019","40","290.16","0.00","6034.564","0.000"
"USEP","05 Jan 2019","41","267.54","0.00","6024.231","0.000"
"USEP","05 Jan 2019","42","277.04","0.00","6013.268","0.000"
"USEP","05 Jan 2019","43","273.33","0.00","5993.477","0.000"
"USEP","05 Jan 2019","44","263.32","0.00","5923.713","0.000"
"USEP","05 Jan 2019","45","107.94","0.00","5811.779","0.000"
"USEP","05 Jan 2019","46","94.49","0.00","5732.304","0.000"
"USEP","05 Jan 2019","47","91.73","0.00","5649.941","0.000"
"USEP","05 Jan 2019","48","104.77","0.00","5586.807","0.000"
"USEP","06 Jan 2019","1","104.76","0.00","5518.166","0.000"
"USEP","06 Jan 2019","2","98.91","0.00","5416.291","0.000"
"USEP","06 Jan 2019","3","93.38","0.00","5306.230","0.000"
"USEP","06 Jan 2019","4","91.97","0.00","5224.131","0.000"
"USEP","06 Jan 2019","5","90.92","0.00","5175.003","0.000"
"USEP","06 Jan 2019","6","90.28","0.00","5123.131","0.000"
"USEP","06 Jan 2019","7","89.66","0.00","5079.007","0.000"
"USEP","06 Jan 2019","8","89.20","0.00","5049.987","0.000"
"USEP","06 Jan 2019","9","89.20","0.00","5029.108","0.000"
"USEP","06 Jan 2019","10","89.20","0.00","5035.862","0.000"
"USEP","06 Jan 2019","11","89.19","0.00","5070.424","0.000"
"USEP","06 Jan 2019","12","89.20","0.00","5102.868","0.000"
"USEP","06 Jan 2019","13","89.22","0.00","5133.637","0.000"
"USEP","06 Jan 2019","14","89.22","0.00","5168.517","0.000"
"USEP","06 Jan 2019","15","89.36","0.00","5204.584","0.000"
"USEP","06 Jan 2019","16","90.88","0.00","5285.028","0.000"
"USEP","06 Jan 2019","17","94.27","0.00","5421.952","0.000"
"USEP","06 Jan 2019","18","99.50","0.00","5536.908","0.000"
"USEP","06 Jan 2019","19","104.80","0.00","5616.681","0.000"
"USEP","06 Jan 2019","20","112.95","0.00","5713.085","0.000"
"USEP","06 Jan 2019","21","120.63","0.00","5783.460","0.000"
"USEP","06 Jan 2019","22","118.53","0.00","5823.205","0.000"
"USEP","06 Jan 2019","23","117.69","0.00","5813.489","0.000"
"USEP","06 Jan 2019","24","114.45","0.00","5783.997","0.000"
"USEP","06 Jan 2019","25","114.44","0.00","5769.633","0.000"
"USEP","06 Jan 2019","26","114.46","0.00","5778.301","0.000"
"USEP","06 Jan 2019","27","114.45","0.00","5792.555","0.000"
"USEP","06 Jan 2019","28","114.91","0.00","5805.556","0.000"
"USEP","06 Jan 2019","29","114.44","0.00","5796.223","0.000"
"USEP","06 Jan 2019","30","114.40","0.00","5796.446","0.000"
"USEP","06 Jan 2019","31","114.96","0.00","5804.866","0.000"
"USEP","06 Jan 2019","32","114.95","0.00","5798.916","0.000"
"USEP","06 Jan 2019","33","121.50","0.00","5816.485","0.000"
"USEP","06 Jan 2019","34","114.98","0.00","5814.279","0.000"
"USEP","06 Jan 2019","35","114.59","0.00","5817.529","0.000"
"USEP","06 Jan 2019","36","98.99","0.00","5814.328","0.000"
"USEP","06 Jan 2019","37","106.04","0.00","5869.381","0.000"
"USEP","06 Jan 2019","38","110.95","0.00","5935.189","0.000"
"USEP","06 Jan 2019","39","115.08","0.00","6008.482","0.000"
"USEP","06 Jan 2019","40","115.11","0.00","6023.203","0.000"
"USEP","06 Jan 2019","41","119.86","0.00","6042.576","0.000"
"USEP","06 Jan 2019","42","120.76","0.00","6056.382","0.000"
"USEP","06 Jan 2019","43","115.78","0.00","6025.872","0.000"
"USEP","06 Jan 2019","44","115.17","0.00","5959.711","0.000"
"USEP","06 Jan 2019","45","103.78","0.00","5852.324","0.000"
"USEP","06 Jan 2019","46","115.10","0.00","5744.450","0.000"
"USEP","06 Jan 2019","47","114.71","0.00","5622.606","0.000"
"USEP","06 Jan 2019","48","98.90","0.00","5462.766","0.000"
"USEP","07 Jan 2019","1","93.37","0.00","5296.181","0.000"
"USEP","07 Jan 2019","2","89.99","0.00","5192.611","0.000"
"USEP","07 Jan 2019","3","89.95","0.00","5163.417","0.000"
"USEP","07 Jan 2019","4","89.35","0.00","5095.542","0.000"
"USEP","07 Jan 2019","5","86.17","0.00","5048.784","0.000"
"USEP","07 Jan 2019","6","86.31","0.00","5020.938","0.000"
"USEP","07 Jan 2019","7","86.20","0.00","4992.236","0.000"
"USEP","07 Jan 2019","8","85.93","0.00","4979.592","0.000"
"USEP","07 Jan 2019","9","85.68","0.00","4977.331","0.000"
"USEP","07 Jan 2019","10","85.69","0.00","5010.491","0.000"
"USEP","07 Jan 2019","11","85.72","0.00","5106.595","0.000"
"USEP","07 Jan 2019","12","89.24","0.00","5255.974","0.000"
"USEP","07 Jan 2019","13","91.94","0.00","5460.862","0.000"
"USEP","07 Jan 2019","14","94.30","0.00","5645.100","0.000"
"USEP","07 Jan 2019","15","95.43","0.00","5867.135","0.000"
"USEP","07 Jan 2019","16","104.79","0.00","6106.251","0.000"
"USEP","07 Jan 2019","17","109.92","0.00","6367.435","0.000"
"USEP","07 Jan 2019","18","128.06","0.00","6562.517","0.000"
"USEP","07 Jan 2019","19","131.02","0.00","6684.998","0.000"
"USEP","07 Jan 2019","20","136.82","0.00","6764.901","0.000"
"USEP","07 Jan 2019","21","198.17","0.00","6834.804","0.000"
"USEP","07 Jan 2019","22","351.71","0.00","6868.575","0.000"
"USEP","07 Jan 2019","23","338.47","0.00","6855.762","0.000"
"USEP","07 Jan 2019","24","148.14","0.00","6782.514","0.000"
"USEP","07 Jan 2019","25","124.29","0.00","6726.478","0.000"
"USEP","07 Jan 2019","26","124.30","0.00","6748.803","0.000"
"USEP","07 Jan 2019","27","151.81","0.00","6794.567","0.000"
"USEP","07 Jan 2019","28","226.49","0.00","6806.987","0.000"
"USEP","07 Jan 2019","29","226.55","0.00","6809.163","0.000"
"USEP","07 Jan 2019","30","190.85","0.00","6808.801","0.000"
"USEP","07 Jan 2019","31","195.96","0.00","6823.894","0.000"
"USEP","07 Jan 2019","32","195.95","0.00","6822.468","0.000"
"USEP","07 Jan 2019","33","131.11","0.00","6813.656","0.000"
"USEP","07 Jan 2019","34","130.32","0.00","6794.104","0.000"
"USEP","07 Jan 2019","35","116.12","0.00","6721.100","0.000"
"USEP","07 Jan 2019","36","106.99","0.00","6605.831","0.000"
"USEP","07 Jan 2019","37","104.84","0.00","6534.258","0.000"
"USEP","07 Jan 2019","38","104.84","0.00","6534.501","0.000"
"USEP","07 Jan 2019","39","104.94","0.00","6530.714","0.000"
"USEP","07 Jan 2019","40","107.99","0.00","6482.023","0.000"
"USEP","07 Jan 2019","41","107.87","0.00","6434.694","0.000"
"USEP","07 Jan 2019","42","130.76","0.00","6389.989","0.000"
"USEP","07 Jan 2019","43","115.49","0.00","6320.672","0.000"
"USEP","07 Jan 2019","44","107.56","0.00","6202.351","0.000"
"USEP","07 Jan 2019","45","96.42","0.00","6054.022","0.000"
"USEP","07 Jan 2019","46","99.67","0.00","5920.597","0.000"
"USEP","07 Jan 2019","47","92.51","0.00","5780.209","0.000"
"USEP","07 Jan 2019","48","78.21","0.00","5578.537","0.000"
"USEP","08 Jan 2019","1","90.11","0.00","5393.171","0.000"
"USEP","08 Jan 2019","2","88.25","0.00","5285.829","0.000"
"USEP","08 Jan 2019","3","89.72","0.00","5261.828","0.000"
"USEP","08 Jan 2019","4","89.71","0.00","5197.149","0.000"
"USEP","08 Jan 2019","5","89.06","0.00","5149.501","0.000"
"USEP","08 Jan 2019","6","98.93","0.00","5110.517","0.000"
"USEP","08 Jan 2019","7","98.65","0.00","5076.905","0.000"
"USEP","08 Jan 2019","8","95.11","0.00","5052.080","0.000"
"USEP","08 Jan 2019","9","94.12","0.00","5034.123","0.000"
"USEP","08 Jan 2019","10","93.78","0.00","5053.904","0.000"
"USEP","08 Jan 2019","11","95.15","0.00","5135.854","0.000"
"USEP","08 Jan 2019","12","99.37","0.00","5287.707","0.000"
"USEP","08 Jan 2019","13","104.49","0.00","5471.955","0.000"
"USEP","08 Jan 2019","14","112.11","0.00","5642.883","0.000"
"USEP","08 Jan 2019","15","114.34","0.00","5837.235","0.000"
"USEP","08 Jan 2019","16","258.93","0.00","6087.286","0.000"
"USEP","08 Jan 2019","17","275.59","0.00","6334.668","0.000"
"USEP","08 Jan 2019","18","285.87","0.00","6499.711","0.000"
"USEP","08 Jan 2019","19","290.98","0.00","6608.529","0.000"
"USEP","08 Jan 2019","20","588.04","0.00","6690.082","0.000"
"USEP","08 Jan 2019","21","588.08","0.00","6762.639","0.000"
"USEP","08 Jan 2019","22","592.66","0.00","6780.124","0.000"
"USEP","08 Jan 2019","23","592.70","0.00","6786.977","0.000"
"USEP","08 Jan 2019","24","560.26","0.00","6731.602","0.000"
"USEP","08 Jan 2019","25","440.42","0.00","6684.600","0.000"
"USEP","08 Jan 2019","26","422.17","0.00","6679.183","0.000"
"USEP","08 Jan 2019","27","515.47","0.00","6721.403","0.000"
"USEP","08 Jan 2019","28","529.51","0.00","6734.196","0.000"
"USEP","08 Jan 2019","29","560.40","0.00","6743.480","0.000"
"USEP","08 Jan 2019","30","529.49","0.00","6743.351","0.000"
"USEP","08 Jan 2019","31","552.31","0.00","6755.254","0.000"
"USEP","08 Jan 2019","32","552.32","0.00","6764.528","0.000"
"USEP","08 Jan 2019","33","560.42","0.00","6764.687","0.000"
"USEP","08 Jan 2019","34","480.12","0.00","6730.135","0.000"
"USEP","08 Jan 2019","35","497.32","0.00","6654.770","0.000"
"USEP","08 Jan 2019","36","272.04","0.00","6518.632","0.000"
"USEP","08 Jan 2019","37","126.82","0.00","6431.583","0.000"
"USEP","08 Jan 2019","38","128.32","0.00","6437.084","0.000"
"USEP","08 Jan 2019","39","128.52","0.00","6440.196","0.000"
"USEP","08 Jan 2019","40","126.79","0.00","6424.699","0.000"
"USEP","08 Jan 2019","41","115.25","0.00","6364.150","0.000"
"USEP","08 Jan 2019","42","131.46","0.00","6330.115","0.000"
"USEP","08 Jan 2019","43","115.32","0.00","6245.764","0.000"
"USEP","08 Jan 2019","44","123.07","0.00","6136.300","0.000"
"USEP","08 Jan 2019","45","107.14","0.00","5986.534","0.000"
"USEP","08 Jan 2019","46","115.21","0.00","5850.396","0.000"
"USEP","08 Jan 2019","47","102.50","0.00","5719.118","0.000"
"USEP","08 Jan 2019","48","93.22","0.00","5553.712","0.000"
"USEP","09 Jan 2019","1","104.51","0.00","5407.022","0.000"
"USEP","09 Jan 2019","2","99.82","0.00","5308.760","0.000"
"USEP","09 Jan 2019","3","99.32","0.00","5233.897","0.000"
"USEP","09 Jan 2019","4","96.89","0.00","5173.139","0.000"
"USEP","09 Jan 2019","5","94.41","0.00","5125.153","0.000"
"USEP","09 Jan 2019","6","94.05","0.00","5076.502","0.000"
"USEP","09 Jan 2019","7","93.03","0.00","5040.897","0.000"
"USEP","09 Jan 2019","8","91.97","0.00","5025.271","0.000"
"USEP","09 Jan 2019","9","91.97","0.00","5021.425","0.000"
"USEP","09 Jan 2019","10","93.03","0.00","5055.285","0.000"
"USEP","09 Jan 2019","11","94.04","0.00","5136.326","0.000"
"USEP","09 Jan 2019","12","98.62","0.00","5288.229","0.000"
"USEP","09 Jan 2019","13","99.81","0.00","5484.127","0.000"
"USEP","09 Jan 2019","14","112.39","0.00","5657.868","0.000"
"USEP","09 Jan 2019","15","107.29","0.00","5857.766","0.000"
"USEP","09 Jan 2019","16","119.73","0.00","6089.642","0.000"
"USEP","09 Jan 2019","17","264.82","0.00","6332.938","0.000"
"USEP","09 Jan 2019","18","289.34","0.00","6508.309","0.000"
"USEP","09 Jan 2019","19","314.92","0.00","6600.548","0.000"
"USEP","09 Jan 2019","20","455.19","0.00","6682.433","0.000"
"USEP","09 Jan 2019","21","658.49","0.00","6733.813","0.000"
"USEP","09 Jan 2019","22","608.45","0.00","6786.232","0.000"
"USEP","09 Jan 2019","23","587.56","0.00","6778.802","0.000"
"USEP","09 Jan 2019","24","527.41","0.00","6730.702","0.000"
