country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
MY,BN,TH,,94.8,0.5,28.0,BESS_[MY]
MY,BN,TH,,94.8,0.1,11.8,EL_to_HTH_[MY]
MY,BN,TH,,94.8,0.0,0.0,EL_to_NH3_[MY]
MY,BN,TH,,94.8,0.0,0.0,NH3_Storage_[MY]
MY,BN,TH,,94.8,0.0,0.0,NH3_to_EL_[MY]
MY,BN,TH,,94.8,0.0,0.0,NH3_to_HTH_[MY]
MY,BN,TH,,94.8,1.4,12.5,FF_to_HTH_[MY]
MY,BN,TH,,94.8,0.0,34.4,EL_Demand_[MY]
MY,BN,TH,,94.8,0.0,12.7,HTH_Demand_[MY]
MY,BN,TH,,94.8,0.0,0.0,NH3_Transport_[BN-TH]
MY,BN,TH,,94.8,0.0,0.5,EL_Transport_[BN-TH]
MY,BN,TH,,94.8,0.0,0.0,NH3_Transport_[BN-MY]
MY,BN,TH,,94.8,0.0,0.0,EL_Transport_[BN-MY]
MY,BN,TH,,94.8,0.0,0.0,NH3_Transport_[TH-MY]
MY,BN,TH,,94.8,0.7,14.4,EL_Transport_[TH-MY]
MY,BN,TH,,118.5,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
MY,BN,TH,,118.5,0.1,2.9,RE_PV_Openfield_Lim_[BN]
MY,BN,TH,,118.5,0.0,0.3,RE_WIND_Onshore_Lim_[BN]
MY,BN,TH,,118.5,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
MY,BN,TH,,118.5,0.2,0.9,PP_CO2_[BN]
MY,BN,TH,,118.5,0.0,1.4,BESS_[BN]
MY,BN,TH,,118.5,0.0,0.1,EL_to_HTH_[BN]
MY,BN,TH,,118.5,0.0,0.0,EL_to_NH3_[BN]
MY,BN,TH,,118.5,0.0,0.0,NH3_Storage_[BN]
MY,BN,TH,,118.5,0.0,0.0,NH3_to_EL_[BN]
MY,BN,TH,,118.5,0.0,0.0,NH3_to_HTH_[BN]
MY,BN,TH,,118.5,0.0,0.1,FF_to_HTH_[BN]
MY,BN,TH,,118.5,0.0,1.5,EL_Demand_[BN]
MY,BN,TH,,118.5,0.0,0.1,HTH_Demand_[BN]
MY,BN,TH,,118.5,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
MY,BN,TH,,118.5,1.6,77.4,RE_PV_Openfield_Lim_[TH]
MY,BN,TH,,118.5,7.0,145.3,RE_WIND_Onshore_Lim_[TH]
MY,BN,TH,,118.5,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
MY,BN,TH,,118.5,3.5,45.8,PP_CO2_[TH]
MY,BN,TH,,118.5,0.0,1.3,BESS_[TH]
MY,BN,TH,,118.5,0.4,32.6,EL_to_HTH_[TH]
MY,BN,TH,,118.5,0.0,0.0,EL_to_NH3_[TH]
MY,BN,TH,,118.5,0.0,0.0,NH3_Storage_[TH]
MY,BN,TH,,118.5,0.0,0.0,NH3_to_EL_[TH]
MY,BN,TH,,118.5,0.0,0.0,NH3_to_HTH_[TH]
MY,BN,TH,,118.5,3.2,33.4,FF_to_HTH_[TH]
MY,BN,TH,,118.5,0.0,65.4,EL_Demand_[TH]
MY,BN,TH,,118.5,0.0,34.3,HTH_Demand_[TH]
MY,BN,TH,,118.5,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
MY,BN,TH,,118.5,1.3,61.8,RE_PV_Openfield_Lim_[MY]
MY,BN,TH,,118.5,2.4,50.0,RE_WIND_Onshore_Lim_[MY]
MY,BN,TH,,118.5,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
MY,BN,TH,,118.5,2.8,22.9,PP_CO2_[MY]
MY,BN,TH,,118.5,0.1,8.1,BESS_[MY]
MY,BN,TH,,118.5,0.1,11.6,EL_to_HTH_[MY]
MY,BN,TH,,118.5,0.0,0.0,EL_to_NH3_[MY]
MY,BN,TH,,118.5,0.0,0.0,NH3_Storage_[MY]
MY,BN,TH,,118.5,0.0,0.0,NH3_to_EL_[MY]
MY,BN,TH,,118.5,0.0,0.0,NH3_to_HTH_[MY]
MY,BN,TH,,118.5,1.5,12.5,FF_to_HTH_[MY]
MY,BN,TH,,118.5,0.0,34.4,EL_Demand_[MY]
MY,BN,TH,,118.5,0.0,12.7,HTH_Demand_[MY]
MY,BN,TH,,118.5,0.0,0.0,NH3_Transport_[BN-TH]
MY,BN,TH,,118.5,0.0,0.3,EL_Transport_[BN-TH]
MY,BN,TH,,118.5,0.0,0.0,NH3_Transport_[BN-MY]
MY,BN,TH,,118.5,0.0,0.0,EL_Transport_[BN-MY]
MY,BN,TH,,118.5,0.0,0.0,NH3_Transport_[TH-MY]
MY,BN,TH,,118.5,0.5,10.8,EL_Transport_[TH-MY]
MY,BN,TH,,142.2,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
MY,BN,TH,,142.2,0.1,2.5,RE_PV_Openfield_Lim_[BN]
MY,BN,TH,,142.2,0.0,0.0,RE_WIND_Onshore_Lim_[BN]
MY,BN,TH,,142.2,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
MY,BN,TH,,142.2,0.2,1.2,PP_CO2_[BN]
MY,BN,TH,,142.2,0.0,0.4,BESS_[BN]
MY,BN,TH,,142.2,0.0,0.1,EL_to_HTH_[BN]
MY,BN,TH,,142.2,0.0,0.0,EL_to_NH3_[BN]
MY,BN,TH,,142.2,0.0,0.0,NH3_Storage_[BN]
MY,BN,TH,,142.2,0.0,0.0,NH3_to_EL_[BN]
MY,BN,TH,,142.2,0.0,0.0,NH3_to_HTH_[BN]
MY,BN,TH,,142.2,0.0,0.1,FF_to_HTH_[BN]
MY,BN,TH,,142.2,0.0,1.5,EL_Demand_[BN]
MY,BN,TH,,142.2,0.0,0.1,HTH_Demand_[BN]
MY,BN,TH,,142.2,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
MY,BN,TH,,142.2,1.6,75.9,RE_PV_Openfield_Lim_[TH]
MY,BN,TH,,142.2,6.4,133.3,RE_WIND_Onshore_Lim_[TH]
MY,BN,TH,,142.2,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
MY,BN,TH,,142.2,3.7,45.5,PP_CO2_[TH]
MY,BN,TH,,142.2,0.1,4.2,BESS_[TH]
MY,BN,TH,,142.2,0.4,32.3,EL_to_HTH_[TH]
MY,BN,TH,,142.2,0.0,0.0,EL_to_NH3_[TH]
MY,BN,TH,,142.2,0.0,0.0,NH3_Storage_[TH]
MY,BN,TH,,142.2,0.0,0.0,NH3_to_EL_[TH]
MY,BN,TH,,142.2,0.0,0.0,NH3_to_HTH_[TH]
MY,BN,TH,,142.2,3.4,33.2,FF_to_HTH_[TH]
MY,BN,TH,,142.2,0.0,65.4,EL_Demand_[TH]
MY,BN,TH,,142.2,0.0,34.3,HTH_Demand_[TH]
MY,BN,TH,,142.2,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
MY,BN,TH,,142.2,1.3,62.0,RE_PV_Openfield_Lim_[MY]
MY,BN,TH,,142.2,2.0,41.7,RE_WIND_Onshore_Lim_[MY]
MY,BN,TH,,142.2,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
MY,BN,TH,,142.2,3.6,25.9,PP_CO2_[MY]
MY,BN,TH,,142.2,0.0,1.4,BESS_[MY]
MY,BN,TH,,142.2,0.1,9.7,EL_to_HTH_[MY]
MY,BN,TH,,142.2,0.0,0.0,EL_to_NH3_[MY]
MY,BN,TH,,142.2,0.0,0.0,NH3_Storage_[MY]
MY,BN,TH,,142.2,0.0,0.0,NH3_to_EL_[MY]
MY,BN,TH,,142.2,0.0,0.0,NH3_to_HTH_[MY]
MY,BN,TH,,142.2,1.6,12.5,FF_to_HTH_[MY]
MY,BN,TH,,142.2,0.0,34.4,EL_Demand_[MY]
MY,BN,TH,,142.2,0.0,12.7,HTH_Demand_[MY]
MY,BN,TH,,142.2,0.0,0.0,NH3_Transport_[BN-TH]
MY,BN,TH,,142.2,0.0,0.1,EL_Transport_[BN-TH]
MY,BN,TH,,142.2,0.0,0.0,NH3_Transport_[BN-MY]
MY,BN,TH,,142.2,0.0,0.0,EL_Transport_[BN-MY]
MY,BN,TH,,142.2,0.0,0.0,NH3_Transport_[TH-MY]
MY,BN,TH,,142.2,0.3,6.4,EL_Transport_[TH-MY]
MY,BN,TH,,149.0,0.0,0.0,RE_PV_Rooftop_Lim_[BN]
MY,BN,TH,,149.0,0.1,2.4,RE_PV_Openfield_Lim_[BN]
MY,BN,TH,,149.0,0.0,0.0,RE_WIND_Onshore_Lim_[BN]
MY,BN,TH,,149.0,0.0,0.0,RE_WIND_Offshore_Lim_[BN]
MY,BN,TH,,149.0,0.2,1.2,PP_CO2_[BN]
MY,BN,TH,,149.0,0.0,0.3,BESS_[BN]
MY,BN,TH,,149.0,0.0,0.1,EL_to_HTH_[BN]
MY,BN,TH,,149.0,0.0,0.0,EL_to_NH3_[BN]
MY,BN,TH,,149.0,0.0,0.0,NH3_Storage_[BN]
MY,BN,TH,,149.0,0.0,0.0,NH3_to_EL_[BN]
MY,BN,TH,,149.0,0.0,0.0,NH3_to_HTH_[BN]
MY,BN,TH,,149.0,0.0,0.1,FF_to_HTH_[BN]
MY,BN,TH,,149.0,0.0,1.5,EL_Demand_[BN]
MY,BN,TH,,149.0,0.0,0.1,HTH_Demand_[BN]
MY,BN,TH,,149.0,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
MY,BN,TH,,149.0,1.6,76.8,RE_PV_Openfield_Lim_[TH]
MY,BN,TH,,149.0,6.3,130.1,RE_WIND_Onshore_Lim_[TH]
MY,BN,TH,,149.0,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
MY,BN,TH,,149.0,3.8,45.6,PP_CO2_[TH]
MY,BN,TH,,149.0,0.1,4.4,BESS_[TH]
MY,BN,TH,,149.0,0.4,32.3,EL_to_HTH_[TH]
MY,BN,TH,,149.0,0.0,0.0,EL_to_NH3_[TH]
MY,BN,TH,,149.0,0.0,0.0,NH3_Storage_[TH]
MY,BN,TH,,149.0,0.0,0.0,NH3_to_EL_[TH]
MY,BN,TH,,149.0,0.0,0.0,NH3_to_HTH_[TH]
MY,BN,TH,,149.0,3.4,33.2,FF_to_HTH_[TH]
MY,BN,TH,,149.0,0.0,65.4,EL_Demand_[TH]
MY,BN,TH,,149.0,0.0,34.3,HTH_Demand_[TH]
MY,BN,TH,,149.0,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
MY,BN,TH,,149.0,1.3,61.0,RE_PV_Openfield_Lim_[MY]
MY,BN,TH,,149.0,1.6,32.5,RE_WIND_Onshore_Lim_[MY]
MY,BN,TH,,149.0,0.3,5.8,RE_WIND_Offshore_Lim_[MY]
MY,BN,TH,,149.0,3.8,26.9,PP_CO2_[MY]
MY,BN,TH,,149.0,0.0,0.4,BESS_[MY]
MY,BN,TH,,149.0,0.1,7.5,EL_to_HTH_[MY]
MY,BN,TH,,149.0,0.0,0.0,EL_to_NH3_[MY]
MY,BN,TH,,149.0,0.0,0.0,NH3_Storage_[MY]
MY,BN,TH,,149.0,0.0,0.0,NH3_to_EL_[MY]
MY,BN,TH,,149.0,0.0,0.0,NH3_to_HTH_[MY]
MY,BN,TH,,149.0,1.7,12.5,FF_to_HTH_[MY]
MY,BN,TH,,149.0,0.0,34.4,EL_Demand_[MY]
MY,BN,TH,,149.0,0.0,12.7,HTH_Demand_[MY]
MY,BN,TH,,149.0,0.0,0.0,NH3_Transport_[BN-TH]
MY,BN,TH,,149.0,0.0,0.1,EL_Transport_[BN-TH]
MY,BN,TH,,149.0,0.0,0.0,NH3_Transport_[BN-MY]
MY,BN,TH,,149.0,0.0,0.0,EL_Transport_[BN-MY]
MY,BN,TH,,149.0,0.0,0.0,NH3_Transport_[TH-MY]
MY,BN,TH,,149.0,0.3,5.3,EL_Transport_[TH-MY]
