country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
PE,CL,,,0.0,0.0,FF_to_HTH_[PE]
PE,CL,,,0.0,0.0,EL_Demand_[PE]
PE,CL,,,0.0,0.0,HTH_Demand_[PE]
PE,CL,,,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
PE,CL,,,0.0,0.0,RE_PV_Openfield_Lim_[CL]
PE,CL,,,0.0,3.7,RE_WIND_Onshore_Lim_[CL]
PE,CL,,,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
PE,CL,,,0.0,0.0,PP_CO2_[CL]
PE,CL,,,0.0,0.0,BESS_[CL]
PE,CL,,,0.0,0.2,EL_to_HTH_[CL]
PE,CL,,,0.0,0.1,EL_to_NH3_[CL]
PE,CL,,,0.0,0.2,NH3_Storage_[CL]
PE,CL,,,0.0,0.0,NH3_to_EL_[CL]
PE,CL,,,0.0,0.0,NH3_to_HTH_[CL]
PE,CL,,,0.0,0.0,FF_to_HTH_[CL]
PE,CL,,,0.0,0.0,EL_Demand_[CL]
PE,CL,,,0.0,0.0,HTH_Demand_[CL]
PE,CL,,,0.0,0.0,NH3_Transport_[PE-CL]
PE,CL,,,0.0,1.7,EL_Transport_[PE-CL]
PE,CL,,,7.2,0.0,RE_PV_Rooftop_Lim_[PE]
PE,CL,,,7.2,0.0,RE_PV_Openfield_Lim_[PE]
PE,CL,,,7.2,0.0,RE_WIND_Onshore_Lim_[PE]
PE,CL,,,7.2,1.5,RE_WIND_Offshore_Lim_[PE]
PE,CL,,,7.2,0.2,PP_CO2_[PE]
PE,CL,,,7.2,0.1,BESS_[PE]
PE,CL,,,7.2,0.1,EL_to_HTH_[PE]
PE,CL,,,7.2,0.0,EL_to_NH3_[PE]
PE,CL,,,7.2,0.0,NH3_Storage_[PE]
PE,CL,,,7.2,0.0,NH3_to_EL_[PE]
PE,CL,,,7.2,0.0,NH3_to_HTH_[PE]
PE,CL,,,7.2,0.5,FF_to_HTH_[PE]
PE,CL,,,7.2,0.0,EL_Demand_[PE]
PE,CL,,,7.2,0.0,HTH_Demand_[PE]
PE,CL,,,7.2,0.0,RE_PV_Rooftop_Lim_[CL]
PE,CL,,,7.2,0.0,RE_PV_Openfield_Lim_[CL]
PE,CL,,,7.2,2.8,RE_WIND_Onshore_Lim_[CL]
PE,CL,,,7.2,0.0,RE_WIND_Offshore_Lim_[CL]
PE,CL,,,7.2,0.0,PP_CO2_[CL]
PE,CL,,,7.2,0.0,BESS_[CL]
PE,CL,,,7.2,0.2,EL_to_HTH_[CL]
PE,CL,,,7.2,0.0,EL_to_NH3_[CL]
PE,CL,,,7.2,0.0,NH3_Storage_[CL]
PE,CL,,,7.2,0.0,NH3_to_EL_[CL]
PE,CL,,,7.2,0.0,NH3_to_HTH_[CL]
PE,CL,,,7.2,0.3,FF_to_HTH_[CL]
PE,CL,,,7.2,0.0,EL_Demand_[CL]
PE,CL,,,7.2,0.0,HTH_Demand_[CL]
PE,CL,,,7.2,0.0,NH3_Transport_[PE-CL]
PE,CL,,,7.2,1.1,EL_Transport_[PE-CL]
PE,CL,,,7.2,0.0,RE_PV_Rooftop_Lim_[PE]
PE,CL,,,7.2,0.0,RE_PV_Openfield_Lim_[PE]
PE,CL,,,7.2,0.0,RE_WIND_Onshore_Lim_[PE]
PE,CL,,,7.2,1.5,RE_WIND_Offshore_Lim_[PE]
PE,CL,,,7.2,0.2,PP_CO2_[PE]
PE,CL,,,7.2,0.1,BESS_[PE]
PE,CL,,,7.2,0.1,EL_to_HTH_[PE]
PE,CL,,,7.2,0.0,EL_to_NH3_[PE]
PE,CL,,,7.2,0.0,NH3_Storage_[PE]
PE,CL,,,7.2,0.0,NH3_to_EL_[PE]
PE,CL,,,7.2,0.0,NH3_to_HTH_[PE]
PE,CL,,,7.2,0.5,FF_to_HTH_[PE]
PE,CL,,,7.2,0.0,EL_Demand_[PE]
PE,CL,,,7.2,0.0,HTH_Demand_[PE]
PE,CL,,,7.2,0.0,RE_PV_Rooftop_Lim_[CL]
PE,CL,,,7.2,0.0,RE_PV_Openfield_Lim_[CL]
PE,CL,,,7.2,2.8,RE_WIND_Onshore_Lim_[CL]
PE,CL,,,7.2,0.0,RE_WIND_Offshore_Lim_[CL]
PE,CL,,,7.2,0.0,PP_CO2_[CL]
PE,CL,,,7.2,0.0,BESS_[CL]
PE,CL,,,7.2,0.2,EL_to_HTH_[CL]
PE,CL,,,7.2,0.0,EL_to_NH3_[CL]
PE,CL,,,7.2,0.0,NH3_Storage_[CL]
PE,CL,,,7.2,0.0,NH3_to_EL_[CL]
PE,CL,,,7.2,0.0,NH3_to_HTH_[CL]
PE,CL,,,7.2,0.3,FF_to_HTH_[CL]
PE,CL,,,7.2,0.0,EL_Demand_[CL]
PE,CL,,,7.2,0.0,HTH_Demand_[CL]
PE,CL,,,7.2,0.0,NH3_Transport_[PE-CL]
PE,CL,,,7.2,1.1,EL_Transport_[PE-CL]
PE,CL,,,1.3,0.0,RE_PV_Rooftop_Lim_[PE]
PE,CL,,,1.3,0.0,RE_PV_Openfield_Lim_[PE]
PE,CL,,,1.3,0.0,RE_WIND_Onshore_Lim_[PE]
PE,CL,,,1.3,0.8,RE_WIND_Offshore_Lim_[PE]
PE,CL,,,1.3,0.0,PP_CO2_[PE]
PE,CL,,,1.3,0.1,BESS_[PE]
PE,CL,,,1.3,0.1,EL_to_HTH_[PE]
PE,CL,,,1.3,0.0,EL_to_NH3_[PE]
PE,CL,,,1.3,0.0,NH3_Storage_[PE]
PE,CL,,,1.3,0.0,NH3_to_EL_[PE]
PE,CL,,,1.3,0.0,NH3_to_HTH_[PE]
PE,CL,,,1.3,0.1,FF_to_HTH_[PE]
PE,CL,,,1.3,0.0,EL_Demand_[PE]
PE,CL,,,1.3,0.0,HTH_Demand_[PE]
PE,CL,,,1.3,0.0,RE_PV_Rooftop_Lim_[CL]
PE,CL,,,1.3,0.0,RE_PV_Openfield_Lim_[CL]
PE,CL,,,1.3,3.6,RE_WIND_Onshore_Lim_[CL]
PE,CL,,,1.3,0.0,RE_WIND_Offshore_Lim_[CL]
PE,CL,,,1.3,0.0,PP_CO2_[CL]
PE,CL,,,1.3,0.0,BESS_[CL]
PE,CL,,,1.3,0.2,EL_to_HTH_[CL]
PE,CL,,,1.3,0.0,EL_to_NH3_[CL]
PE,CL,,,1.3,0.1,NH3_Storage_[CL]
PE,CL,,,1.3,0.0,NH3_to_EL_[CL]
PE,CL,,,1.3,0.0,NH3_to_HTH_[CL]
PE,CL,,,1.3,0.1,FF_to_HTH_[CL]
PE,CL,,,1.3,0.0,EL_Demand_[CL]
PE,CL,,,1.3,0.0,HTH_Demand_[CL]
PE,CL,,,1.3,0.0,NH3_Transport_[PE-CL]
PE,CL,,,1.3,1.8,EL_Transport_[PE-CL]
PE,CL,,,7.2,0.0,RE_PV_Rooftop_Lim_[PE]
PE,CL,,,7.2,0.0,RE_PV_Openfield_Lim_[PE]
PE,CL,,,7.2,0.0,RE_WIND_Onshore_Lim_[PE]
PE,CL,,,7.2,1.5,RE_WIND_Offshore_Lim_[PE]
PE,CL,,,7.2,0.2,PP_CO2_[PE]
PE,CL,,,7.2,0.1,BESS_[PE]
PE,CL,,,7.2,0.1,EL_to_HTH_[PE]
PE,CL,,,7.2,0.0,EL_to_NH3_[PE]
PE,CL,,,7.2,0.0,NH3_Storage_[PE]
PE,CL,,,7.2,0.0,NH3_to_EL_[PE]
PE,CL,,,7.2,0.0,NH3_to_HTH_[PE]
PE,CL,,,7.2,0.5,FF_to_HTH_[PE]
PE,CL,,,7.2,0.0,EL_Demand_[PE]
PE,CL,,,7.2,0.0,HTH_Demand_[PE]
PE,CL,,,7.2,0.0,RE_PV_Rooftop_Lim_[CL]
PE,CL,,,7.2,0.0,RE_PV_Openfield_Lim_[CL]
PE,CL,,,7.2,2.8,RE_WIND_Onshore_Lim_[CL]
PE,CL,,,7.2,0.0,RE_WIND_Offshore_Lim_[CL]
PE,CL,,,7.2,0.0,PP_CO2_[CL]
PE,CL,,,7.2,0.0,BESS_[CL]
PE,CL,,,7.2,0.2,EL_to_HTH_[CL]
PE,CL,,,7.2,0.0,EL_to_NH3_[CL]
PE,CL,,,7.2,0.0,NH3_Storage_[CL]
PE,CL,,,7.2,0.0,NH3_to_EL_[CL]
PE,CL,,,7.2,0.0,NH3_to_HTH_[CL]
PE,CL,,,7.2,0.3,FF_to_HTH_[CL]
PE,CL,,,7.2,0.0,EL_Demand_[CL]
PE,CL,,,7.2,0.0,HTH_Demand_[CL]
PE,CL,,,7.2,0.0,NH3_Transport_[PE-CL]
PE,CL,,,7.2,1.1,EL_Transport_[PE-CL]
PE,CL,,,7.2,0.0,RE_PV_Rooftop_Lim_[PE]
PE,CL,,,7.2,0.0,RE_PV_Openfield_Lim_[PE]
PE,CL,,,7.2,0.0,RE_WIND_Onshore_Lim_[PE]
PE,CL,,,7.2,1.5,RE_WIND_Offshore_Lim_[PE]
PE,CL,,,7.2,0.2,PP_CO2_[PE]
PE,CL,,,7.2,0.1,BESS_[PE]
PE,CL,,,7.2,0.1,EL_to_HTH_[PE]
PE,CL,,,7.2,0.0,EL_to_NH3_[PE]
PE,CL,,,7.2,0.0,NH3_Storage_[PE]
PE,CL,,,7.2,0.0,NH3_to_EL_[PE]
PE,CL,,,7.2,0.0,NH3_to_HTH_[PE]
PE,CL,,,7.2,0.5,FF_to_HTH_[PE]
PE,CL,,,7.2,0.0,EL_Demand_[PE]
PE,CL,,,7.2,0.0,HTH_Demand_[PE]
PE,CL,,,7.2,0.0,RE_PV_Rooftop_Lim_[CL]
PE,CL,,,7.2,0.0,RE_PV_Openfield_Lim_[CL]
PE,CL,,,7.2,2.8,RE_WIND_Onshore_Lim_[CL]
PE,CL,,,7.2,0.0,RE_WIND_Offshore_Lim_[CL]
PE,CL,,,7.2,0.0,PP_CO2_[CL]
PE,CL,,,7.2,0.0,BESS_[CL]
PE,CL,,,7.2,0.2,EL_to_HTH_[CL]
PE,CL,,,7.2,0.0,EL_to_NH3_[CL]
PE,CL,,,7.2,0.0,NH3_Storage_[CL]
PE,CL,,,7.2,0.0,NH3_to_EL_[CL]
PE,CL,,,7.2,0.0,NH3_to_HTH_[CL]
PE,CL,,,7.2,0.3,FF_to_HTH_[CL]
PE,CL,,,7.2,0.0,EL_Demand_[CL]
PE,CL,,,7.2,0.0,HTH_Demand_[CL]
PE,CL,,,7.2,0.0,NH3_Transport_[PE-CL]
PE,CL,,,7.2,1.1,EL_Transport_[PE-CL]
PE,CL,,,4.0,0.0,RE_PV_Rooftop_Lim_[PE]
PE,CL,,,4.0,0.0,RE_PV_Openfield_Lim_[PE]
PE,CL,,,4.0,0.0,RE_WIND_Onshore_Lim_[PE]
PE,CL,,,4.0,1.3,RE_WIND_Offshore_Lim_[PE]
PE,CL,,,4.0,0.0,PP_CO2_[PE]
PE,CL,,,4.0,0.1,BESS_[PE]
PE,CL,,,4.0,0.1,EL_to_HTH_[PE]
PE,CL,,,4.0,0.0,EL_to_NH3_[PE]
PE,CL,,,4.0,0.0,NH3_Storage_[PE]
PE,CL,,,4.0,0.0,NH3_to_EL_[PE]
PE,CL,,,4.0,0.0,NH3_to_HTH_[PE]
PE,CL,,,4.0,0.3,FF_to_HTH_[PE]
PE,CL,,,4.0,0.0,EL_Demand_[PE]
PE,CL,,,4.0,0.0,HTH_Demand_[PE]
PE,CL,,,4.0,0.0,RE_PV_Rooftop_Lim_[CL]
PE,CL,,,4.0,0.0,RE_PV_Openfield_Lim_[CL]
PE,CL,,,4.0,3.2,RE_WIND_Onshore_Lim_[CL]
PE,CL,,,4.0,0.0,RE_WIND_Offshore_Lim_[CL]
PE,CL,,,4.0,0.0,PP_CO2_[CL]
PE,CL,,,4.0,0.0,BESS_[CL]
PE,CL,,,4.0,0.2,EL_to_HTH_[CL]
PE,CL,,,4.0,0.0,EL_to_NH3_[CL]
PE,CL,,,4.0,0.0,NH3_Storage_[CL]
PE,CL,,,4.0,0.0,NH3_to_EL_[CL]
PE,CL,,,4.0,0.0,NH3_to_HTH_[CL]
PE,CL,,,4.0,0.2,FF_to_HTH_[CL]
PE,CL,,,4.0,0.0,EL_Demand_[CL]
PE,CL,,,4.0,0.0,HTH_Demand_[CL]
PE,CL,,,4.0,0.0,NH3_Transport_[PE-CL]
PE,CL,,,4.0,1.4,EL_Transport_[PE-CL]
PE,CL,,,5.4,0.0,RE_PV_Rooftop_Lim_[PE]
PE,CL,,,5.4,0.0,RE_PV_Openfield_Lim_[PE]
PE,CL,,,5.4,0.0,RE_WIND_Onshore_Lim_[PE]
PE,CL,,,5.4,1.4,RE_WIND_Offshore_Lim_[PE]
PE,CL,,,5.4,0.1,PP_CO2_[PE]
PE,CL,,,5.4,0.1,BESS_[PE]
PE,CL,,,5.4,0.1,EL_to_HTH_[PE]
PE,CL,,,5.4,0.0,EL_to_NH3_[PE]
PE,CL,,,5.4,0.0,NH3_Storage_[PE]
PE,CL,,,5.4,0.0,NH3_to_EL_[PE]
PE,CL,,,5.4,0.0,NH3_to_HTH_[PE]
PE,CL,,,5.4,0.4,FF_to_HTH_[PE]
PE,CL,,,5.4,0.0,EL_Demand_[PE]
PE,CL,,,5.4,0.0,HTH_Demand_[PE]
PE,CL,,,5.4,0.0,RE_PV_Rooftop_Lim_[CL]
PE,CL,,,5.4,0.0,RE_PV_Openfield_Lim_[CL]
PE,CL,,,5.4,3.0,RE_WIND_Onshore_Lim_[CL]
PE,CL,,,5.4,0.0,RE_WIND_Offshore_Lim_[CL]
PE,CL,,,5.4,0.0,PP_CO2_[CL]
PE,CL,,,5.4,0.0,BESS_[CL]
PE,CL,,,5.4,0.2,EL_to_HTH_[CL]
PE,CL,,,5.4,0.0,EL_to_NH3_[CL]
PE,CL,,,5.4,0.0,NH3_Storage_[CL]
PE,CL,,,5.4,0.0,NH3_to_EL_[CL]
PE,CL,,,5.4,0.0,NH3_to_HTH_[CL]
PE,CL,,,5.4,0.3,FF_to_HTH_[CL]
PE,CL,,,5.4,0.0,EL_Demand_[CL]
PE,CL,,,5.4,0.0,HTH_Demand_[CL]
PE,CL,,,5.4,0.0,NH3_Transport_[PE-CL]
PE,CL,,,5.4,1.2,EL_Transport_[PE-CL]
