country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SGP,IDN,MYS,NIL,170.9,0.0,RE_WIND_Offshore_Lim_[MYS]
SGP,IDN,MYS,NIL,170.9,6.1,PP_CO2_[MYS]
SGP,IDN,MYS,NIL,170.9,0.0,BESS_[MYS]
SGP,IDN,MYS,NIL,170.9,0.0,EL_to_HTH_[MYS]
SGP,IDN,MYS,NIL,170.9,5.0,EL_to_NH3_[MYS]
SGP,IDN,MYS,NIL,170.9,0.7,NH3_Storage_[MYS]
SGP,IDN,MYS,NIL,170.9,0.0,NH3_to_EL_[MYS]
SGP,IDN,MYS,NIL,170.9,0.1,NH3_to_HTH_[MYS]
SGP,IDN,MYS,NIL,170.9,0.0,EL_Demand_[MYS]
SGP,IDN,MYS,NIL,170.9,0.0,HTH_Demand_[MYS]
SGP,IDN,MYS,NIL,244.1,0.0,RE_PV_Rooftop_Lim_[SGP]
SGP,IDN,MYS,NIL,244.1,0.0,RE_PV_Openfield_Lim_[SGP]
SGP,IDN,MYS,NIL,244.1,0.2,RE_WIND_Onshore_Lim_[SGP]
SGP,IDN,MYS,NIL,244.1,0.0,RE_WIND_Offshore_Lim_[SGP]
SGP,IDN,MYS,NIL,244.1,3.9,PP_CO2_[SGP]
SGP,IDN,MYS,NIL,244.1,0.0,BESS_[SGP]
SGP,IDN,MYS,NIL,244.1,0.9,EL_to_HTH_[SGP]
SGP,IDN,MYS,NIL,244.1,0.0,EL_to_NH3_[SGP]
SGP,IDN,MYS,NIL,244.1,0.0,NH3_Storage_[SGP]
SGP,IDN,MYS,NIL,244.1,0.0,NH3_to_EL_[SGP]
SGP,IDN,MYS,NIL,244.1,0.0,NH3_to_HTH_[SGP]
SGP,IDN,MYS,NIL,244.1,0.0,EL_Demand_[SGP]
SGP,IDN,MYS,NIL,244.1,0.0,HTH_Demand_[SGP]
SGP,IDN,MYS,NIL,244.1,0.0,RE_PV_Rooftop_Lim_[IDN]
SGP,IDN,MYS,NIL,244.1,0.3,RE_PV_Openfield_Lim_[IDN]
SGP,IDN,MYS,NIL,244.1,0.0,RE_WIND_Onshore_Lim_[IDN]
SGP,IDN,MYS,NIL,244.1,12.5,RE_WIND_Offshore_Lim_[IDN]
SGP,IDN,MYS,NIL,244.1,9.3,PP_CO2_[IDN]
SGP,IDN,MYS,NIL,244.1,0.0,BESS_[IDN]
SGP,IDN,MYS,NIL,244.1,7.5,EL_to_HTH_[IDN]
SGP,IDN,MYS,NIL,244.1,0.1,EL_to_NH3_[IDN]
SGP,IDN,MYS,NIL,244.1,0.0,NH3_Storage_[IDN]
SGP,IDN,MYS,NIL,244.1,0.0,NH3_to_EL_[IDN]
SGP,IDN,MYS,NIL,244.1,0.0,NH3_to_HTH_[IDN]
SGP,IDN,MYS,NIL,244.1,0.0,EL_Demand_[IDN]
SGP,IDN,MYS,NIL,244.1,0.0,HTH_Demand_[IDN]
SGP,IDN,MYS,NIL,244.1,0.0,RE_PV_Rooftop_Lim_[MYS]
SGP,IDN,MYS,NIL,244.1,3.0,RE_PV_Openfield_Lim_[MYS]
SGP,IDN,MYS,NIL,244.1,0.0,RE_WIND_Onshore_Lim_[MYS]
SGP,IDN,MYS,NIL,244.1,0.0,RE_WIND_Offshore_Lim_[MYS]
SGP,IDN,MYS,NIL,244.1,12.2,PP_CO2_[MYS]
SGP,IDN,MYS,NIL,244.1,0.0,BESS_[MYS]
SGP,IDN,MYS,NIL,244.1,0.0,EL_to_HTH_[MYS]
SGP,IDN,MYS,NIL,244.1,2.1,EL_to_NH3_[MYS]
SGP,IDN,MYS,NIL,244.1,0.1,NH3_Storage_[MYS]
SGP,IDN,MYS,NIL,244.1,0.0,NH3_to_EL_[MYS]
SGP,IDN,MYS,NIL,244.1,0.1,NH3_to_HTH_[MYS]
SGP,IDN,MYS,NIL,244.1,0.0,EL_Demand_[MYS]
SGP,IDN,MYS,NIL,244.1,0.0,HTH_Demand_[MYS]
SGP,IDN,MYS,NIL,219.7,0.0,RE_PV_Rooftop_Lim_[SGP]
SGP,IDN,MYS,NIL,219.7,0.0,RE_PV_Openfield_Lim_[SGP]
