Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,20,20,894
1,RE_PV_Rooftop_Lim,20,20,20
2,RE_PV_Openfield_Lim,20,20,20
3,RE_WIND_Onshore_Lim,20,20,20
4,RE_WIND_Offshore_Lim,20,20,20
5,PP_CO2,20,20,20
6,BESS,20,20,20
7,EL_to_HTH,20,20,20
8,EL_to_NH3,20,20,20
9,NH3_Storage,20,20,20
10,NH3_to_EL,20,20,20
11,NH3_to_HTH,20,20,20
12,FF_to_HTH,20,20,20
13,EL_Demand,20,20,20
14,HTH_Demand,20,20,20
15,RE_PV_Rooftop_Lim,22,22,22
16,RE_PV_Openfield_Lim,22,22,22
17,RE_WIND_Onshore_Lim,22,22,22
18,RE_WIND_Offshore_Lim,22,22,22
19,PP_CO2,22,22,22
20,BESS,22,22,22
21,EL_to_HTH,22,22,22
22,EL_to_NH3,22,22,22
23,NH3_Storage,22,22,22
24,NH3_to_EL,22,22,22
25,NH3_to_HTH,22,22,22
26,FF_to_HTH,22,22,22
27,EL_Demand,22,22,22
28,HTH_Demand,22,22,22
