country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,TH,LA,,60.1,0.0,EL_to_HTH_[LA]
KR,TH,LA,,60.1,0.0,EL_to_NH3_[LA]
KR,TH,LA,,60.1,0.0,NH3_Storage_[LA]
KR,TH,LA,,60.1,0.0,NH3_to_EL_[LA]
KR,TH,LA,,60.1,0.0,NH3_to_HTH_[LA]
KR,TH,LA,,60.1,0.0,FF_to_HTH_[LA]
KR,TH,LA,,60.1,0.0,EL_Demand_[LA]
KR,TH,LA,,60.1,0.0,HTH_Demand_[LA]
KR,TH,LA,,60.1,0.0,NH3_Transport_[KR-TH]
KR,TH,LA,,60.1,8.6,EL_Transport_[KR-TH]
KR,TH,LA,,60.1,0.0,NH3_Transport_[KR-LA]
KR,TH,LA,,60.1,0.1,EL_Transport_[KR-LA]
KR,TH,LA,,60.1,0.0,NH3_Transport_[TH-LA]
KR,TH,LA,,60.1,0.0,EL_Transport_[TH-LA]
KR,TH,LA,,0.0,0.8,RE_PV_Rooftop_Lim_[KR]
KR,TH,LA,,0.0,2.1,RE_PV_Openfield_Lim_[KR]
KR,TH,LA,,0.0,0.9,RE_WIND_Onshore_Lim_[KR]
KR,TH,LA,,0.0,0.0,RE_WIND_Offshore_Lim_[KR]
KR,TH,LA,,0.0,0.0,PP_CO2_[KR]
KR,TH,LA,,0.0,4.7,BESS_[KR]
KR,TH,LA,,0.0,0.3,EL_to_HTH_[KR]
KR,TH,LA,,0.0,0.0,EL_to_NH3_[KR]
KR,TH,LA,,0.0,3.8,NH3_Storage_[KR]
KR,TH,LA,,0.0,0.4,NH3_to_EL_[KR]
KR,TH,LA,,0.0,0.1,NH3_to_HTH_[KR]
KR,TH,LA,,0.0,0.0,FF_to_HTH_[KR]
KR,TH,LA,,0.0,0.0,EL_Demand_[KR]
KR,TH,LA,,0.0,0.0,HTH_Demand_[KR]
KR,TH,LA,,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,LA,,0.0,4.9,RE_PV_Openfield_Lim_[TH]
KR,TH,LA,,0.0,19.9,RE_WIND_Onshore_Lim_[TH]
KR,TH,LA,,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,LA,,0.0,0.0,PP_CO2_[TH]
KR,TH,LA,,0.0,0.7,BESS_[TH]
KR,TH,LA,,0.0,0.4,EL_to_HTH_[TH]
KR,TH,LA,,0.0,2.4,EL_to_NH3_[TH]
KR,TH,LA,,0.0,4.7,NH3_Storage_[TH]
KR,TH,LA,,0.0,0.3,NH3_to_EL_[TH]
KR,TH,LA,,0.0,0.1,NH3_to_HTH_[TH]
KR,TH,LA,,0.0,0.0,FF_to_HTH_[TH]
KR,TH,LA,,0.0,0.0,EL_Demand_[TH]
KR,TH,LA,,0.0,0.0,HTH_Demand_[TH]
KR,TH,LA,,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
KR,TH,LA,,0.0,0.8,RE_PV_Openfield_Lim_[LA]
KR,TH,LA,,0.0,2.8,RE_WIND_Onshore_Lim_[LA]
KR,TH,LA,,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
KR,TH,LA,,0.0,0.0,PP_CO2_[LA]
KR,TH,LA,,0.0,0.4,BESS_[LA]
KR,TH,LA,,0.0,0.0,EL_to_HTH_[LA]
KR,TH,LA,,0.0,0.5,EL_to_NH3_[LA]
KR,TH,LA,,0.0,1.1,NH3_Storage_[LA]
KR,TH,LA,,0.0,0.3,NH3_to_EL_[LA]
KR,TH,LA,,0.0,0.0,NH3_to_HTH_[LA]
KR,TH,LA,,0.0,0.0,FF_to_HTH_[LA]
KR,TH,LA,,0.0,0.0,EL_Demand_[LA]
KR,TH,LA,,0.0,0.0,HTH_Demand_[LA]
KR,TH,LA,,0.0,0.1,NH3_Transport_[KR-TH]
KR,TH,LA,,0.0,6.7,EL_Transport_[KR-TH]
KR,TH,LA,,0.0,0.0,NH3_Transport_[KR-LA]
KR,TH,LA,,0.0,1.9,EL_Transport_[KR-LA]
KR,TH,LA,,0.0,0.0,NH3_Transport_[TH-LA]
KR,TH,LA,,0.0,0.1,EL_Transport_[TH-LA]
KR,TH,LA,,22.5,0.8,RE_PV_Rooftop_Lim_[KR]
KR,TH,LA,,22.5,2.1,RE_PV_Openfield_Lim_[KR]
KR,TH,LA,,22.5,0.9,RE_WIND_Onshore_Lim_[KR]
KR,TH,LA,,22.5,0.8,RE_WIND_Offshore_Lim_[KR]
KR,TH,LA,,22.5,1.1,PP_CO2_[KR]
KR,TH,LA,,22.5,4.7,BESS_[KR]
KR,TH,LA,,22.5,0.3,EL_to_HTH_[KR]
KR,TH,LA,,22.5,0.4,EL_to_NH3_[KR]
KR,TH,LA,,22.5,0.6,NH3_Storage_[KR]
KR,TH,LA,,22.5,0.2,NH3_to_EL_[KR]
KR,TH,LA,,22.5,0.0,NH3_to_HTH_[KR]
KR,TH,LA,,22.5,1.2,FF_to_HTH_[KR]
KR,TH,LA,,22.5,0.0,EL_Demand_[KR]
KR,TH,LA,,22.5,0.0,HTH_Demand_[KR]
KR,TH,LA,,22.5,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,LA,,22.5,3.9,RE_PV_Openfield_Lim_[TH]
KR,TH,LA,,22.5,19.9,RE_WIND_Onshore_Lim_[TH]
KR,TH,LA,,22.5,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,LA,,22.5,0.0,PP_CO2_[TH]
KR,TH,LA,,22.5,0.5,BESS_[TH]
KR,TH,LA,,22.5,0.4,EL_to_HTH_[TH]
KR,TH,LA,,22.5,0.7,EL_to_NH3_[TH]
KR,TH,LA,,22.5,0.8,NH3_Storage_[TH]
KR,TH,LA,,22.5,0.3,NH3_to_EL_[TH]
KR,TH,LA,,22.5,0.0,NH3_to_HTH_[TH]
KR,TH,LA,,22.5,0.9,FF_to_HTH_[TH]
KR,TH,LA,,22.5,0.0,EL_Demand_[TH]
KR,TH,LA,,22.5,0.0,HTH_Demand_[TH]
KR,TH,LA,,22.5,0.0,RE_PV_Rooftop_Lim_[LA]
KR,TH,LA,,22.5,0.2,RE_PV_Openfield_Lim_[LA]
KR,TH,LA,,22.5,1.1,RE_WIND_Onshore_Lim_[LA]
KR,TH,LA,,22.5,0.0,RE_WIND_Offshore_Lim_[LA]
KR,TH,LA,,22.5,0.0,PP_CO2_[LA]
KR,TH,LA,,22.5,0.0,BESS_[LA]
KR,TH,LA,,22.5,0.0,EL_to_HTH_[LA]
KR,TH,LA,,22.5,0.2,EL_to_NH3_[LA]
KR,TH,LA,,22.5,0.2,NH3_Storage_[LA]
KR,TH,LA,,22.5,0.1,NH3_to_EL_[LA]
