country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,MY,VN,LA,58.7,0.7,NH3_Storage_[VN]
SG,MY,VN,LA,58.7,0.4,NH3_to_EL_[VN]
SG,MY,VN,LA,58.7,0.0,NH3_to_HTH_[VN]
SG,MY,VN,LA,58.7,1.7,FF_to_HTH_[VN]
SG,MY,VN,LA,58.7,0.0,EL_Demand_[VN]
SG,MY,VN,LA,58.7,0.0,HTH_Demand_[VN]
SG,MY,VN,LA,58.7,0.0,RE_PV_Rooftop_Lim_[MY]
SG,MY,VN,LA,58.7,2.5,RE_PV_Openfield_Lim_[MY]
SG,MY,VN,LA,58.7,4.8,RE_WIND_Onshore_Lim_[MY]
SG,MY,VN,LA,58.7,0.0,RE_WIND_Offshore_Lim_[MY]
SG,MY,VN,LA,58.7,0.3,PP_CO2_[MY]
SG,MY,VN,LA,58.7,3.5,BESS_[MY]
SG,MY,VN,LA,58.7,0.1,EL_to_HTH_[MY]
SG,MY,VN,LA,58.7,0.0,EL_to_NH3_[MY]
SG,MY,VN,LA,58.7,0.0,NH3_Storage_[MY]
SG,MY,VN,LA,58.7,0.0,NH3_to_EL_[MY]
SG,MY,VN,LA,58.7,0.0,NH3_to_HTH_[MY]
SG,MY,VN,LA,58.7,0.8,FF_to_HTH_[MY]
SG,MY,VN,LA,58.7,0.0,EL_Demand_[MY]
SG,MY,VN,LA,58.7,0.0,HTH_Demand_[MY]
SG,MY,VN,LA,58.7,0.0,RE_PV_Rooftop_Lim_[LA]
SG,MY,VN,LA,58.7,0.1,RE_PV_Openfield_Lim_[LA]
SG,MY,VN,LA,58.7,0.2,RE_WIND_Onshore_Lim_[LA]
SG,MY,VN,LA,58.7,0.0,RE_WIND_Offshore_Lim_[LA]
SG,MY,VN,LA,58.7,0.0,PP_CO2_[LA]
SG,MY,VN,LA,58.7,0.0,BESS_[LA]
SG,MY,VN,LA,58.7,0.0,EL_to_HTH_[LA]
SG,MY,VN,LA,58.7,0.0,EL_to_NH3_[LA]
SG,MY,VN,LA,58.7,0.0,NH3_Storage_[LA]
SG,MY,VN,LA,58.7,0.0,NH3_to_EL_[LA]
SG,MY,VN,LA,58.7,0.0,NH3_to_HTH_[LA]
SG,MY,VN,LA,58.7,0.0,FF_to_HTH_[LA]
SG,MY,VN,LA,58.7,0.0,EL_Demand_[LA]
SG,MY,VN,LA,58.7,0.0,HTH_Demand_[LA]
SG,MY,VN,LA,58.7,0.4,RE_PV_Rooftop_Lim_[SG]
SG,MY,VN,LA,58.7,0.0,RE_PV_Openfield_Lim_[SG]
SG,MY,VN,LA,58.7,0.0,RE_WIND_Onshore_Lim_[SG]
SG,MY,VN,LA,58.7,0.0,RE_WIND_Offshore_Lim_[SG]
SG,MY,VN,LA,58.7,3.3,PP_CO2_[SG]
SG,MY,VN,LA,58.7,0.0,BESS_[SG]
SG,MY,VN,LA,58.7,0.0,EL_to_HTH_[SG]
SG,MY,VN,LA,58.7,0.0,EL_to_NH3_[SG]
SG,MY,VN,LA,58.7,0.0,NH3_Storage_[SG]
SG,MY,VN,LA,58.7,0.0,NH3_to_EL_[SG]
SG,MY,VN,LA,58.7,0.0,NH3_to_HTH_[SG]
SG,MY,VN,LA,58.7,0.7,FF_to_HTH_[SG]
SG,MY,VN,LA,58.7,0.0,EL_Demand_[SG]
SG,MY,VN,LA,58.7,0.0,HTH_Demand_[SG]
SG,MY,VN,LA,62.5,0.0,RE_PV_Rooftop_Lim_[VN]
SG,MY,VN,LA,62.5,1.4,RE_PV_Openfield_Lim_[VN]
SG,MY,VN,LA,62.5,9.1,RE_WIND_Onshore_Lim_[VN]
SG,MY,VN,LA,62.5,1.7,RE_WIND_Offshore_Lim_[VN]
SG,MY,VN,LA,62.5,0.6,PP_CO2_[VN]
SG,MY,VN,LA,62.5,0.7,BESS_[VN]
SG,MY,VN,LA,62.5,0.5,EL_to_HTH_[VN]
SG,MY,VN,LA,62.5,0.2,EL_to_NH3_[VN]
SG,MY,VN,LA,62.5,0.7,NH3_Storage_[VN]
SG,MY,VN,LA,62.5,0.4,NH3_to_EL_[VN]
SG,MY,VN,LA,62.5,0.0,NH3_to_HTH_[VN]
SG,MY,VN,LA,62.5,1.8,FF_to_HTH_[VN]
SG,MY,VN,LA,62.5,0.0,EL_Demand_[VN]
SG,MY,VN,LA,62.5,0.0,HTH_Demand_[VN]
SG,MY,VN,LA,62.5,0.0,RE_PV_Rooftop_Lim_[MY]
SG,MY,VN,LA,62.5,2.5,RE_PV_Openfield_Lim_[MY]
SG,MY,VN,LA,62.5,4.8,RE_WIND_Onshore_Lim_[MY]
SG,MY,VN,LA,62.5,0.0,RE_WIND_Offshore_Lim_[MY]
SG,MY,VN,LA,62.5,0.3,PP_CO2_[MY]
SG,MY,VN,LA,62.5,3.5,BESS_[MY]
SG,MY,VN,LA,62.5,0.1,EL_to_HTH_[MY]
SG,MY,VN,LA,62.5,0.0,EL_to_NH3_[MY]
SG,MY,VN,LA,62.5,0.0,NH3_Storage_[MY]
SG,MY,VN,LA,62.5,0.0,NH3_to_EL_[MY]
SG,MY,VN,LA,62.5,0.0,NH3_to_HTH_[MY]
SG,MY,VN,LA,62.5,0.8,FF_to_HTH_[MY]
