country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
BR,CO,PE,CL,53.7,0.1,1.1,EL_to_NH3_[BR]
BR,CO,PE,CL,53.7,0.1,6.6,NH3_Storage_[BR]
BR,CO,PE,CL,53.7,0.1,1.5,NH3_to_EL_[BR]
BR,CO,PE,CL,53.7,0.0,0.6,NH3_to_HTH_[BR]
BR,CO,PE,CL,53.7,4.9,130.1,FF_to_HTH_[BR]
BR,CO,PE,CL,53.7,0.0,206.6,EL_Demand_[BR]
BR,CO,PE,CL,53.7,0.0,137.1,HTH_Demand_[BR]
BR,CO,PE,CL,53.7,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
BR,CO,PE,CL,53.7,0.5,30.1,RE_PV_Openfield_Lim_[CO]
BR,CO,PE,CL,53.7,3.3,84.9,RE_WIND_Onshore_Lim_[CO]
BR,CO,PE,CL,53.7,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
BR,CO,PE,CL,53.7,0.6,9.6,PP_CO2_[CO]
BR,CO,PE,CL,53.7,0.4,20.1,BESS_[CO]
BR,CO,PE,CL,53.7,0.1,12.7,EL_to_HTH_[CO]
BR,CO,PE,CL,53.7,0.0,0.0,EL_to_NH3_[CO]
BR,CO,PE,CL,53.7,0.0,0.0,NH3_Storage_[CO]
BR,CO,PE,CL,53.7,0.0,0.0,NH3_to_EL_[CO]
BR,CO,PE,CL,53.7,0.0,0.0,NH3_to_HTH_[CO]
BR,CO,PE,CL,53.7,0.6,12.5,FF_to_HTH_[CO]
BR,CO,PE,CL,53.7,0.0,33.0,EL_Demand_[CO]
BR,CO,PE,CL,53.7,0.0,12.9,HTH_Demand_[CO]
BR,CO,PE,CL,53.7,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,CO,PE,CL,53.7,0.2,13.9,RE_PV_Openfield_Lim_[PE]
BR,CO,PE,CL,53.7,2.5,65.1,RE_WIND_Onshore_Lim_[PE]
BR,CO,PE,CL,53.7,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
BR,CO,PE,CL,53.7,0.7,7.4,PP_CO2_[PE]
BR,CO,PE,CL,53.7,0.4,23.9,BESS_[PE]
BR,CO,PE,CL,53.7,0.1,5.6,EL_to_HTH_[PE]
BR,CO,PE,CL,53.7,0.0,0.0,EL_to_NH3_[PE]
BR,CO,PE,CL,53.7,0.0,0.0,NH3_Storage_[PE]
BR,CO,PE,CL,53.7,0.0,0.0,NH3_to_EL_[PE]
BR,CO,PE,CL,53.7,0.0,0.0,NH3_to_HTH_[PE]
BR,CO,PE,CL,53.7,0.5,5.6,FF_to_HTH_[PE]
BR,CO,PE,CL,53.7,0.0,19.3,EL_Demand_[PE]
BR,CO,PE,CL,53.7,0.0,5.7,HTH_Demand_[PE]
BR,CO,PE,CL,53.7,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
BR,CO,PE,CL,53.7,0.0,0.0,RE_PV_Openfield_Lim_[CL]
BR,CO,PE,CL,53.7,1.8,56.1,RE_WIND_Onshore_Lim_[CL]
BR,CO,PE,CL,53.7,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
BR,CO,PE,CL,53.7,0.0,0.7,PP_CO2_[CL]
BR,CO,PE,CL,53.7,0.0,2.5,BESS_[CL]
BR,CO,PE,CL,53.7,0.2,13.4,EL_to_HTH_[CL]
BR,CO,PE,CL,53.7,0.0,0.0,EL_to_NH3_[CL]
BR,CO,PE,CL,53.7,0.0,0.1,NH3_Storage_[CL]
BR,CO,PE,CL,53.7,0.0,0.0,NH3_to_EL_[CL]
BR,CO,PE,CL,53.7,0.0,0.0,NH3_to_HTH_[CL]
BR,CO,PE,CL,53.7,0.2,13.2,FF_to_HTH_[CL]
BR,CO,PE,CL,53.7,0.0,24.8,EL_Demand_[CL]
BR,CO,PE,CL,53.7,0.0,13.6,HTH_Demand_[CL]
BR,CO,PE,CL,67.1,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,PE,CL,67.1,4.0,136.8,RE_PV_Openfield_Lim_[BR]
BR,CO,PE,CL,67.1,17.7,668.2,RE_WIND_Onshore_Lim_[BR]
BR,CO,PE,CL,67.1,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CO,PE,CL,67.1,4.7,87.9,PP_CO2_[BR]
BR,CO,PE,CL,67.1,0.4,20.1,BESS_[BR]
BR,CO,PE,CL,67.1,1.5,132.6,EL_to_HTH_[BR]
BR,CO,PE,CL,67.1,0.0,0.0,EL_to_NH3_[BR]
BR,CO,PE,CL,67.1,0.0,0.2,NH3_Storage_[BR]
BR,CO,PE,CL,67.1,0.0,0.0,NH3_to_EL_[BR]
BR,CO,PE,CL,67.1,0.0,0.2,NH3_to_HTH_[BR]
BR,CO,PE,CL,67.1,5.6,131.4,FF_to_HTH_[BR]
BR,CO,PE,CL,67.1,0.0,206.6,EL_Demand_[BR]
BR,CO,PE,CL,67.1,0.0,137.1,HTH_Demand_[BR]
BR,CO,PE,CL,67.1,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
BR,CO,PE,CL,67.1,0.4,28.1,RE_PV_Openfield_Lim_[CO]
BR,CO,PE,CL,67.1,2.9,73.8,RE_WIND_Onshore_Lim_[CO]
BR,CO,PE,CL,67.1,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
BR,CO,PE,CL,67.1,0.8,11.5,PP_CO2_[CO]
BR,CO,PE,CL,67.1,0.3,17.9,BESS_[CO]
BR,CO,PE,CL,67.1,0.1,12.7,EL_to_HTH_[CO]
BR,CO,PE,CL,67.1,0.0,0.0,EL_to_NH3_[CO]
BR,CO,PE,CL,67.1,0.0,0.0,NH3_Storage_[CO]
BR,CO,PE,CL,67.1,0.0,0.0,NH3_to_EL_[CO]
BR,CO,PE,CL,67.1,0.0,0.0,NH3_to_HTH_[CO]
BR,CO,PE,CL,67.1,0.9,12.5,FF_to_HTH_[CO]
BR,CO,PE,CL,67.1,0.0,33.0,EL_Demand_[CO]
BR,CO,PE,CL,67.1,0.0,12.9,HTH_Demand_[CO]
BR,CO,PE,CL,67.1,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,CO,PE,CL,67.1,0.2,14.5,RE_PV_Openfield_Lim_[PE]
BR,CO,PE,CL,67.1,2.2,56.5,RE_WIND_Onshore_Lim_[PE]
BR,CO,PE,CL,67.1,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
BR,CO,PE,CL,67.1,1.1,9.5,PP_CO2_[PE]
BR,CO,PE,CL,67.1,0.1,8.0,BESS_[PE]
BR,CO,PE,CL,67.1,0.1,5.6,EL_to_HTH_[PE]
BR,CO,PE,CL,67.1,0.0,0.0,EL_to_NH3_[PE]
BR,CO,PE,CL,67.1,0.0,0.0,NH3_Storage_[PE]
BR,CO,PE,CL,67.1,0.0,0.0,NH3_to_EL_[PE]
BR,CO,PE,CL,67.1,0.0,0.0,NH3_to_HTH_[PE]
BR,CO,PE,CL,67.1,0.5,5.6,FF_to_HTH_[PE]
BR,CO,PE,CL,67.1,0.0,19.3,EL_Demand_[PE]
BR,CO,PE,CL,67.1,0.0,5.7,HTH_Demand_[PE]
BR,CO,PE,CL,67.1,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
BR,CO,PE,CL,67.1,0.0,0.0,RE_PV_Openfield_Lim_[CL]
BR,CO,PE,CL,67.1,1.7,53.6,RE_WIND_Onshore_Lim_[CL]
BR,CO,PE,CL,67.1,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
BR,CO,PE,CL,67.1,0.1,1.8,PP_CO2_[CL]
BR,CO,PE,CL,67.1,0.0,2.1,BESS_[CL]
BR,CO,PE,CL,67.1,0.2,13.4,EL_to_HTH_[CL]
BR,CO,PE,CL,67.1,0.0,0.0,EL_to_NH3_[CL]
BR,CO,PE,CL,67.1,0.0,0.0,NH3_Storage_[CL]
BR,CO,PE,CL,67.1,0.0,0.0,NH3_to_EL_[CL]
BR,CO,PE,CL,67.1,0.0,0.0,NH3_to_HTH_[CL]
BR,CO,PE,CL,67.1,0.2,13.2,FF_to_HTH_[CL]
BR,CO,PE,CL,67.1,0.0,24.8,EL_Demand_[CL]
BR,CO,PE,CL,67.1,0.0,13.6,HTH_Demand_[CL]
BR,CO,PE,CL,73.8,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,PE,CL,73.8,3.8,132.3,RE_PV_Openfield_Lim_[BR]
BR,CO,PE,CL,73.8,17.2,649.4,RE_WIND_Onshore_Lim_[BR]
BR,CO,PE,CL,73.8,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CO,PE,CL,73.8,4.9,90.8,PP_CO2_[BR]
BR,CO,PE,CL,73.8,0.3,17.4,BESS_[BR]
BR,CO,PE,CL,73.8,1.5,132.3,EL_to_HTH_[BR]
BR,CO,PE,CL,73.8,0.0,0.0,EL_to_NH3_[BR]
BR,CO,PE,CL,73.8,0.0,0.2,NH3_Storage_[BR]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_to_EL_[BR]
BR,CO,PE,CL,73.8,0.0,0.2,NH3_to_HTH_[BR]
BR,CO,PE,CL,73.8,6.0,131.4,FF_to_HTH_[BR]
BR,CO,PE,CL,73.8,0.0,206.6,EL_Demand_[BR]
BR,CO,PE,CL,73.8,0.0,137.1,HTH_Demand_[BR]
BR,CO,PE,CL,73.8,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
BR,CO,PE,CL,73.8,0.4,26.4,RE_PV_Openfield_Lim_[CO]
BR,CO,PE,CL,73.8,2.7,69.6,RE_WIND_Onshore_Lim_[CO]
BR,CO,PE,CL,73.8,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
BR,CO,PE,CL,73.8,0.9,12.3,PP_CO2_[CO]
BR,CO,PE,CL,73.8,0.3,17.1,BESS_[CO]
BR,CO,PE,CL,73.8,0.1,12.6,EL_to_HTH_[CO]
BR,CO,PE,CL,73.8,0.0,0.0,EL_to_NH3_[CO]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_Storage_[CO]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_to_EL_[CO]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_to_HTH_[CO]
BR,CO,PE,CL,73.8,1.0,12.5,FF_to_HTH_[CO]
BR,CO,PE,CL,73.8,0.0,33.0,EL_Demand_[CO]
BR,CO,PE,CL,73.8,0.0,12.9,HTH_Demand_[CO]
BR,CO,PE,CL,73.8,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,CO,PE,CL,73.8,0.2,13.9,RE_PV_Openfield_Lim_[PE]
BR,CO,PE,CL,73.8,2.1,54.0,RE_WIND_Onshore_Lim_[PE]
BR,CO,PE,CL,73.8,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
BR,CO,PE,CL,73.8,1.2,10.2,PP_CO2_[PE]
BR,CO,PE,CL,73.8,0.1,4.3,BESS_[PE]
BR,CO,PE,CL,73.8,0.1,5.6,EL_to_HTH_[PE]
BR,CO,PE,CL,73.8,0.0,0.0,EL_to_NH3_[PE]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_Storage_[PE]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_to_EL_[PE]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_to_HTH_[PE]
BR,CO,PE,CL,73.8,0.6,5.6,FF_to_HTH_[PE]
BR,CO,PE,CL,73.8,0.0,19.3,EL_Demand_[PE]
BR,CO,PE,CL,73.8,0.0,5.7,HTH_Demand_[PE]
BR,CO,PE,CL,73.8,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
BR,CO,PE,CL,73.8,0.0,0.0,RE_PV_Openfield_Lim_[CL]
BR,CO,PE,CL,73.8,1.7,51.8,RE_WIND_Onshore_Lim_[CL]
BR,CO,PE,CL,73.8,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
BR,CO,PE,CL,73.8,0.1,2.6,PP_CO2_[CL]
BR,CO,PE,CL,73.8,0.0,1.9,BESS_[CL]
BR,CO,PE,CL,73.8,0.2,13.4,EL_to_HTH_[CL]
BR,CO,PE,CL,73.8,0.0,0.0,EL_to_NH3_[CL]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_Storage_[CL]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_to_EL_[CL]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_to_HTH_[CL]
BR,CO,PE,CL,73.8,0.3,13.2,FF_to_HTH_[CL]
BR,CO,PE,CL,73.8,0.0,24.8,EL_Demand_[CL]
BR,CO,PE,CL,73.8,0.0,13.6,HTH_Demand_[CL]
BR,CO,PE,CL,73.8,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,PE,CL,73.8,3.8,132.3,RE_PV_Openfield_Lim_[BR]
BR,CO,PE,CL,73.8,17.2,649.4,RE_WIND_Onshore_Lim_[BR]
BR,CO,PE,CL,73.8,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CO,PE,CL,73.8,4.9,90.8,PP_CO2_[BR]
BR,CO,PE,CL,73.8,0.3,17.4,BESS_[BR]
BR,CO,PE,CL,73.8,1.5,132.3,EL_to_HTH_[BR]
BR,CO,PE,CL,73.8,0.0,0.0,EL_to_NH3_[BR]
BR,CO,PE,CL,73.8,0.0,0.2,NH3_Storage_[BR]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_to_EL_[BR]
BR,CO,PE,CL,73.8,0.0,0.2,NH3_to_HTH_[BR]
BR,CO,PE,CL,73.8,6.0,131.4,FF_to_HTH_[BR]
BR,CO,PE,CL,73.8,0.0,206.6,EL_Demand_[BR]
BR,CO,PE,CL,73.8,0.0,137.1,HTH_Demand_[BR]
BR,CO,PE,CL,73.8,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
BR,CO,PE,CL,73.8,0.4,26.4,RE_PV_Openfield_Lim_[CO]
BR,CO,PE,CL,73.8,2.7,69.6,RE_WIND_Onshore_Lim_[CO]
BR,CO,PE,CL,73.8,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
BR,CO,PE,CL,73.8,0.9,12.3,PP_CO2_[CO]
BR,CO,PE,CL,73.8,0.3,17.1,BESS_[CO]
BR,CO,PE,CL,73.8,0.1,12.6,EL_to_HTH_[CO]
BR,CO,PE,CL,73.8,0.0,0.0,EL_to_NH3_[CO]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_Storage_[CO]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_to_EL_[CO]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_to_HTH_[CO]
BR,CO,PE,CL,73.8,1.0,12.5,FF_to_HTH_[CO]
BR,CO,PE,CL,73.8,0.0,33.0,EL_Demand_[CO]
BR,CO,PE,CL,73.8,0.0,12.9,HTH_Demand_[CO]
BR,CO,PE,CL,73.8,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,CO,PE,CL,73.8,0.2,13.9,RE_PV_Openfield_Lim_[PE]
BR,CO,PE,CL,73.8,2.1,54.0,RE_WIND_Onshore_Lim_[PE]
BR,CO,PE,CL,73.8,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
BR,CO,PE,CL,73.8,1.2,10.2,PP_CO2_[PE]
BR,CO,PE,CL,73.8,0.1,4.3,BESS_[PE]
BR,CO,PE,CL,73.8,0.1,5.6,EL_to_HTH_[PE]
BR,CO,PE,CL,73.8,0.0,0.0,EL_to_NH3_[PE]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_Storage_[PE]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_to_EL_[PE]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_to_HTH_[PE]
BR,CO,PE,CL,73.8,0.6,5.6,FF_to_HTH_[PE]
BR,CO,PE,CL,73.8,0.0,19.3,EL_Demand_[PE]
BR,CO,PE,CL,73.8,0.0,5.7,HTH_Demand_[PE]
BR,CO,PE,CL,73.8,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
BR,CO,PE,CL,73.8,0.0,0.0,RE_PV_Openfield_Lim_[CL]
BR,CO,PE,CL,73.8,1.7,51.8,RE_WIND_Onshore_Lim_[CL]
BR,CO,PE,CL,73.8,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
BR,CO,PE,CL,73.8,0.1,2.6,PP_CO2_[CL]
BR,CO,PE,CL,73.8,0.0,1.9,BESS_[CL]
BR,CO,PE,CL,73.8,0.2,13.4,EL_to_HTH_[CL]
BR,CO,PE,CL,73.8,0.0,0.0,EL_to_NH3_[CL]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_Storage_[CL]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_to_EL_[CL]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_to_HTH_[CL]
BR,CO,PE,CL,73.8,0.3,13.2,FF_to_HTH_[CL]
BR,CO,PE,CL,73.8,0.0,24.8,EL_Demand_[CL]
BR,CO,PE,CL,73.8,0.0,13.6,HTH_Demand_[CL]
BR,CO,PE,CL,73.8,0.0,0.0,RE_PV_Rooftop_Lim_[BR]
BR,CO,PE,CL,73.8,3.8,132.3,RE_PV_Openfield_Lim_[BR]
BR,CO,PE,CL,73.8,17.2,649.4,RE_WIND_Onshore_Lim_[BR]
BR,CO,PE,CL,73.8,0.0,0.0,RE_WIND_Offshore_Lim_[BR]
BR,CO,PE,CL,73.8,4.9,90.8,PP_CO2_[BR]
BR,CO,PE,CL,73.8,0.3,17.4,BESS_[BR]
BR,CO,PE,CL,73.8,1.5,132.3,EL_to_HTH_[BR]
BR,CO,PE,CL,73.8,0.0,0.0,EL_to_NH3_[BR]
BR,CO,PE,CL,73.8,0.0,0.2,NH3_Storage_[BR]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_to_EL_[BR]
BR,CO,PE,CL,73.8,0.0,0.2,NH3_to_HTH_[BR]
BR,CO,PE,CL,73.8,6.0,131.4,FF_to_HTH_[BR]
BR,CO,PE,CL,73.8,0.0,206.6,EL_Demand_[BR]
BR,CO,PE,CL,73.8,0.0,137.1,HTH_Demand_[BR]
BR,CO,PE,CL,73.8,0.0,0.0,RE_PV_Rooftop_Lim_[CO]
BR,CO,PE,CL,73.8,0.4,26.4,RE_PV_Openfield_Lim_[CO]
BR,CO,PE,CL,73.8,2.7,69.6,RE_WIND_Onshore_Lim_[CO]
BR,CO,PE,CL,73.8,0.0,0.0,RE_WIND_Offshore_Lim_[CO]
BR,CO,PE,CL,73.8,0.9,12.3,PP_CO2_[CO]
BR,CO,PE,CL,73.8,0.3,17.1,BESS_[CO]
BR,CO,PE,CL,73.8,0.1,12.6,EL_to_HTH_[CO]
BR,CO,PE,CL,73.8,0.0,0.0,EL_to_NH3_[CO]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_Storage_[CO]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_to_EL_[CO]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_to_HTH_[CO]
BR,CO,PE,CL,73.8,1.0,12.5,FF_to_HTH_[CO]
BR,CO,PE,CL,73.8,0.0,33.0,EL_Demand_[CO]
BR,CO,PE,CL,73.8,0.0,12.9,HTH_Demand_[CO]
BR,CO,PE,CL,73.8,0.0,0.0,RE_PV_Rooftop_Lim_[PE]
BR,CO,PE,CL,73.8,0.2,13.9,RE_PV_Openfield_Lim_[PE]
BR,CO,PE,CL,73.8,2.1,54.0,RE_WIND_Onshore_Lim_[PE]
BR,CO,PE,CL,73.8,0.0,0.0,RE_WIND_Offshore_Lim_[PE]
BR,CO,PE,CL,73.8,1.2,10.2,PP_CO2_[PE]
BR,CO,PE,CL,73.8,0.1,4.3,BESS_[PE]
BR,CO,PE,CL,73.8,0.1,5.6,EL_to_HTH_[PE]
BR,CO,PE,CL,73.8,0.0,0.0,EL_to_NH3_[PE]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_Storage_[PE]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_to_EL_[PE]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_to_HTH_[PE]
BR,CO,PE,CL,73.8,0.6,5.6,FF_to_HTH_[PE]
BR,CO,PE,CL,73.8,0.0,19.3,EL_Demand_[PE]
BR,CO,PE,CL,73.8,0.0,5.7,HTH_Demand_[PE]
BR,CO,PE,CL,73.8,0.0,0.0,RE_PV_Rooftop_Lim_[CL]
BR,CO,PE,CL,73.8,0.0,0.0,RE_PV_Openfield_Lim_[CL]
BR,CO,PE,CL,73.8,1.7,51.8,RE_WIND_Onshore_Lim_[CL]
BR,CO,PE,CL,73.8,0.0,0.0,RE_WIND_Offshore_Lim_[CL]
BR,CO,PE,CL,73.8,0.1,2.6,PP_CO2_[CL]
BR,CO,PE,CL,73.8,0.0,1.9,BESS_[CL]
BR,CO,PE,CL,73.8,0.2,13.4,EL_to_HTH_[CL]
BR,CO,PE,CL,73.8,0.0,0.0,EL_to_NH3_[CL]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_Storage_[CL]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_to_EL_[CL]
BR,CO,PE,CL,73.8,0.0,0.0,NH3_to_HTH_[CL]
BR,CO,PE,CL,73.8,0.3,13.2,FF_to_HTH_[CL]
BR,CO,PE,CL,73.8,0.0,24.8,EL_Demand_[CL]
BR,CO,PE,CL,73.8,0.0,13.6,HTH_Demand_[CL]
