Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,18,18,9
1,RE_PV_Rooftop_Lim,18,18,18
2,RE_PV_Openfield_Lim,18,18,18
3,RE_WIND_Onshore_Lim,18,18,18
4,RE_WIND_Offshore_Lim,18,18,18
5,PP_CO2,18,18,18
6,BESS,18,18,18
7,EL_to_HTH,18,18,18
8,EL_to_NH3,18,18,18
9,NH3_Storage,18,18,18
10,NH3_to_EL,18,18,18
11,NH3_to_HTH,18,18,18
12,FF_to_HTH,18,18,18
13,EL_Demand,18,18,18
14,HTH_Demand,18,18,18
15,RE_PV_Rooftop_Lim,19,19,19
16,RE_PV_Openfield_Lim,19,19,19
17,RE_WIND_Onshore_Lim,19,19,19
18,RE_WIND_Offshore_Lim,19,19,19
19,PP_CO2,19,19,19
20,BESS,19,19,19
21,EL_to_HTH,19,19,19
22,EL_to_NH3,19,19,19
23,NH3_Storage,19,19,19
24,NH3_to_EL,19,19,19
25,NH3_to_HTH,19,19,19
26,FF_to_HTH,19,19,19
27,EL_Demand,19,19,19
28,HTH_Demand,19,19,19
29,NH3_Transport,18,19,0
30,EL_Transport,18,19,0
