Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,14,14,9
1,RE_PV_Rooftop_Lim,14,14,14
2,RE_PV_Openfield_Lim,14,14,14
3,RE_WIND_Onshore_Lim,14,14,14
4,RE_WIND_Offshore_Lim,14,14,14
5,PP_CO2,14,14,14
6,BESS,14,14,14
7,EL_to_HTH,14,14,14
8,EL_to_NH3,14,14,14
9,NH3_Storage,14,14,14
10,NH3_to_EL,14,14,14
11,NH3_to_HTH,14,14,14
12,FF_to_HTH,14,14,14
13,EL_Demand,14,14,14
14,HTH_Demand,14,14,14
15,RE_PV_Rooftop_Lim,15,15,15
16,RE_PV_Openfield_Lim,15,15,15
17,RE_WIND_Onshore_Lim,15,15,15
18,RE_WIND_Offshore_Lim,15,15,15
19,PP_CO2,15,15,15
20,BESS,15,15,15
21,EL_to_HTH,15,15,15
22,EL_to_NH3,15,15,15
23,NH3_Storage,15,15,15
24,NH3_to_EL,15,15,15
25,NH3_to_HTH,15,15,15
26,FF_to_HTH,15,15,15
27,EL_Demand,15,15,15
28,HTH_Demand,15,15,15
29,NH3_Transport,14,15,0
30,EL_Transport,14,15,0
