country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
MY,PH,TH,,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
MY,PH,TH,,0.0,3.4,RE_PV_Openfield_Lim_[TH]
MY,PH,TH,,0.0,14.2,RE_WIND_Onshore_Lim_[TH]
MY,PH,TH,,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
MY,PH,TH,,0.0,0.0,PP_CO2_[TH]
MY,PH,TH,,0.0,0.7,BESS_[TH]
MY,PH,TH,,0.0,0.4,EL_to_HTH_[TH]
MY,PH,TH,,0.0,1.2,EL_to_NH3_[TH]
MY,PH,TH,,0.0,4.7,NH3_Storage_[TH]
MY,PH,TH,,0.0,0.4,NH3_to_EL_[TH]
MY,PH,TH,,0.0,0.1,NH3_to_HTH_[TH]
MY,PH,TH,,0.0,0.0,FF_to_HTH_[TH]
MY,PH,TH,,0.0,0.0,EL_Demand_[TH]
MY,PH,TH,,0.0,0.0,HTH_Demand_[TH]
MY,PH,TH,,0.0,0.0,RE_PV_Rooftop_Lim_[PH]
MY,PH,TH,,0.0,1.3,RE_PV_Openfield_Lim_[PH]
MY,PH,TH,,0.0,6.7,RE_WIND_Onshore_Lim_[PH]
MY,PH,TH,,0.0,0.0,RE_WIND_Offshore_Lim_[PH]
MY,PH,TH,,0.0,0.0,PP_CO2_[PH]
MY,PH,TH,,0.0,0.7,BESS_[PH]
MY,PH,TH,,0.0,0.1,EL_to_HTH_[PH]
MY,PH,TH,,0.0,0.8,EL_to_NH3_[PH]
MY,PH,TH,,0.0,1.9,NH3_Storage_[PH]
MY,PH,TH,,0.0,0.3,NH3_to_EL_[PH]
MY,PH,TH,,0.0,0.0,NH3_to_HTH_[PH]
MY,PH,TH,,0.0,0.0,FF_to_HTH_[PH]
MY,PH,TH,,0.0,0.0,EL_Demand_[PH]
MY,PH,TH,,0.0,0.0,HTH_Demand_[PH]
MY,PH,TH,,0.0,0.0,RE_PV_Rooftop_Lim_[MY]
MY,PH,TH,,0.0,3.0,RE_PV_Openfield_Lim_[MY]
MY,PH,TH,,0.0,1.2,RE_WIND_Onshore_Lim_[MY]
MY,PH,TH,,0.0,0.0,RE_WIND_Offshore_Lim_[MY]
MY,PH,TH,,0.0,0.0,PP_CO2_[MY]
MY,PH,TH,,0.0,3.3,BESS_[MY]
MY,PH,TH,,0.0,0.1,EL_to_HTH_[MY]
MY,PH,TH,,0.0,0.0,EL_to_NH3_[MY]
