country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_capacity,technology_name
NG,KE,,,37.8,0,0,RE_PV_Rooftop_Lim_[KE]
NG,KE,,,37.8,0,0,RE_PV_Openfield_Lim_[KE]
NG,KE,,,37.8,2.3,53.9,RE_WIND_Onshore_Lim_[KE]
NG,KE,,,37.8,0,0,RE_WIND_Offshore_Lim_[KE]
NG,KE,,,37.8,0,0,PP_CO2_[KE]
NG,KE,,,37.8,0,0,BESS_[KE]
NG,KE,,,37.8,0.1,5.7,EL_to_HTH_[KE]
NG,KE,,,37.8,0,0.1,EL_to_NH3_[KE]
NG,KE,,,37.8,0,0.1,NH3_Storage_[KE]
NG,KE,,,37.8,0,0,NH3_to_EL_[KE]
NG,KE,,,37.8,0,0,NH3_to_HTH_[KE]
NG,KE,,,37.8,0.2,5.5,FF_to_HTH_[KE]
NG,KE,,,37.8,0,12.2,EL_Demand_[KE]
NG,KE,,,37.8,0,5.8,HTH_Demand_[KE]
NG,KE,,,37.8,0,0,RE_PV_Rooftop_Lim_[NG]
NG,KE,,,37.8,4.2,131.5,RE_PV_Openfield_Lim_[NG]
NG,KE,,,37.8,11.9,283,RE_WIND_Onshore_Lim_[NG]
NG,KE,,,37.8,0,0,RE_WIND_Offshore_Lim_[NG]
NG,KE,,,37.8,2.2,30.1,PP_CO2_[NG]
NG,KE,,,37.8,1.7,94.9,BESS_[NG]
NG,KE,,,37.8,0.5,44.9,EL_to_HTH_[NG]
NG,KE,,,37.8,0,0.1,EL_to_NH3_[NG]
NG,KE,,,37.8,0,0.2,NH3_Storage_[NG]
NG,KE,,,37.8,0,0,NH3_to_EL_[NG]
NG,KE,,,37.8,0,0.1,NH3_to_HTH_[NG]
NG,KE,,,37.8,3.1,46.1,FF_to_HTH_[NG]
NG,KE,,,37.8,0,91.3,EL_Demand_[NG]
NG,KE,,,37.8,0,47.1,HTH_Demand_[NG]
NG,KE,,,37.8,0,0.1,NH3_Transport_[KE-NG]
NG,KE,,,37.8,1.4,10.3,EL_Transport_[KE-NG]
NG,KE,,,9.5,0,0,RE_PV_Rooftop_Lim_[KE]
NG,KE,,,9.5,0,0,RE_PV_Openfield_Lim_[KE]
NG,KE,,,9.5,5.1,122,RE_WIND_Onshore_Lim_[KE]
NG,KE,,,9.5,0,0,RE_WIND_Offshore_Lim_[KE]
NG,KE,,,9.5,0,0,PP_CO2_[KE]
NG,KE,,,9.5,0,0,BESS_[KE]
NG,KE,,,9.5,0.1,5.7,EL_to_HTH_[KE]
NG,KE,,,9.5,0.2,3.9,EL_to_NH3_[KE]
NG,KE,,,9.5,0.3,17,NH3_Storage_[KE]
NG,KE,,,9.5,0,0.4,NH3_to_EL_[KE]
NG,KE,,,9.5,0,1.1,NH3_to_HTH_[KE]
NG,KE,,,9.5,0,0,FF_to_HTH_[KE]
NG,KE,,,9.5,0,12.2,EL_Demand_[KE]
NG,KE,,,9.5,0,5.8,HTH_Demand_[KE]
NG,KE,,,9.5,0,0,RE_PV_Rooftop_Lim_[NG]
NG,KE,,,9.5,4.8,149.9,RE_PV_Openfield_Lim_[NG]
NG,KE,,,9.5,12.1,289.6,RE_WIND_Onshore_Lim_[NG]
NG,KE,,,9.5,0,0,RE_WIND_Offshore_Lim_[NG]
NG,KE,,,9.5,0,0,PP_CO2_[NG]
