country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,LA,,,32.3,0.0,NH3_Transport_[KR-LA]
KR,LA,,,32.3,6.6,EL_Transport_[KR-LA]
KR,LA,,,0.0,0.8,RE_PV_Rooftop_Lim_[KR]
KR,LA,,,0.0,2.1,RE_PV_Openfield_Lim_[KR]
KR,LA,,,0.0,0.9,RE_WIND_Onshore_Lim_[KR]
KR,LA,,,0.0,5.1,RE_WIND_Offshore_Lim_[KR]
KR,LA,,,0.0,0.0,PP_CO2_[KR]
KR,LA,,,0.0,5.4,BESS_[KR]
KR,LA,,,0.0,0.3,EL_to_HTH_[KR]
KR,LA,,,0.0,0.8,EL_to_NH3_[KR]
KR,LA,,,0.0,1.7,NH3_Storage_[KR]
KR,LA,,,0.0,0.0,NH3_to_EL_[KR]
KR,LA,,,0.0,0.1,NH3_to_HTH_[KR]
KR,LA,,,0.0,0.0,FF_to_HTH_[KR]
KR,LA,,,0.0,0.0,EL_Demand_[KR]
KR,LA,,,0.0,0.0,HTH_Demand_[KR]
KR,LA,,,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
KR,LA,,,0.0,4.1,RE_PV_Openfield_Lim_[LA]
KR,LA,,,0.0,6.2,RE_WIND_Onshore_Lim_[LA]
KR,LA,,,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
KR,LA,,,0.0,0.0,PP_CO2_[LA]
KR,LA,,,0.0,3.8,BESS_[LA]
KR,LA,,,0.0,0.0,EL_to_HTH_[LA]
KR,LA,,,0.0,1.2,EL_to_NH3_[LA]
KR,LA,,,0.0,1.2,NH3_Storage_[LA]
KR,LA,,,0.0,0.3,NH3_to_EL_[LA]
KR,LA,,,0.0,0.0,NH3_to_HTH_[LA]
KR,LA,,,0.0,0.0,FF_to_HTH_[LA]
KR,LA,,,0.0,0.0,EL_Demand_[LA]
KR,LA,,,0.0,0.0,HTH_Demand_[LA]
KR,LA,,,0.0,0.0,NH3_Transport_[KR-LA]
KR,LA,,,0.0,7.8,EL_Transport_[KR-LA]
KR,LA,,,16.3,0.8,RE_PV_Rooftop_Lim_[KR]
KR,LA,,,16.3,2.1,RE_PV_Openfield_Lim_[KR]
KR,LA,,,16.3,0.9,RE_WIND_Onshore_Lim_[KR]
KR,LA,,,16.3,3.2,RE_WIND_Offshore_Lim_[KR]
KR,LA,,,16.3,0.4,PP_CO2_[KR]
KR,LA,,,16.3,5.9,BESS_[KR]
KR,LA,,,16.3,0.3,EL_to_HTH_[KR]
KR,LA,,,16.3,0.2,EL_to_NH3_[KR]
KR,LA,,,16.3,0.3,NH3_Storage_[KR]
KR,LA,,,16.3,0.1,NH3_to_EL_[KR]
KR,LA,,,16.3,0.0,NH3_to_HTH_[KR]
KR,LA,,,16.3,1.6,FF_to_HTH_[KR]
KR,LA,,,16.3,0.0,EL_Demand_[KR]
KR,LA,,,16.3,0.0,HTH_Demand_[KR]
KR,LA,,,16.3,0.0,RE_PV_Rooftop_Lim_[LA]
KR,LA,,,16.3,3.1,RE_PV_Openfield_Lim_[LA]
KR,LA,,,16.3,6.2,RE_WIND_Onshore_Lim_[LA]
KR,LA,,,16.3,0.0,RE_WIND_Offshore_Lim_[LA]
KR,LA,,,16.3,0.0,PP_CO2_[LA]
KR,LA,,,16.3,3.0,BESS_[LA]
KR,LA,,,16.3,0.0,EL_to_HTH_[LA]
KR,LA,,,16.3,0.5,EL_to_NH3_[LA]
KR,LA,,,16.3,0.5,NH3_Storage_[LA]
KR,LA,,,16.3,0.2,NH3_to_EL_[LA]
KR,LA,,,16.3,0.0,NH3_to_HTH_[LA]
KR,LA,,,16.3,0.0,FF_to_HTH_[LA]
KR,LA,,,16.3,0.0,EL_Demand_[LA]
KR,LA,,,16.3,0.0,HTH_Demand_[LA]
KR,LA,,,16.3,0.0,NH3_Transport_[KR-LA]
KR,LA,,,16.3,7.0,EL_Transport_[KR-LA]
KR,LA,,,32.6,0.8,RE_PV_Rooftop_Lim_[KR]
KR,LA,,,32.6,2.1,RE_PV_Openfield_Lim_[KR]
KR,LA,,,32.6,0.9,RE_WIND_Onshore_Lim_[KR]
KR,LA,,,32.6,3.0,RE_WIND_Offshore_Lim_[KR]
KR,LA,,,32.6,1.9,PP_CO2_[KR]
KR,LA,,,32.6,5.7,BESS_[KR]
KR,LA,,,32.6,0.3,EL_to_HTH_[KR]
KR,LA,,,32.6,0.0,EL_to_NH3_[KR]
KR,LA,,,32.6,0.0,NH3_Storage_[KR]
KR,LA,,,32.6,0.0,NH3_to_EL_[KR]
KR,LA,,,32.6,0.0,NH3_to_HTH_[KR]
KR,LA,,,32.6,2.0,FF_to_HTH_[KR]
KR,LA,,,32.6,0.0,EL_Demand_[KR]
KR,LA,,,32.6,0.0,HTH_Demand_[KR]
KR,LA,,,32.6,0.0,RE_PV_Rooftop_Lim_[LA]
KR,LA,,,32.6,2.2,RE_PV_Openfield_Lim_[LA]
KR,LA,,,32.6,6.2,RE_WIND_Onshore_Lim_[LA]
KR,LA,,,32.6,0.0,RE_WIND_Offshore_Lim_[LA]
KR,LA,,,32.6,0.0,PP_CO2_[LA]
KR,LA,,,32.6,1.4,BESS_[LA]
KR,LA,,,32.6,0.0,EL_to_HTH_[LA]
KR,LA,,,32.6,0.0,EL_to_NH3_[LA]
KR,LA,,,32.6,0.0,NH3_Storage_[LA]
KR,LA,,,32.6,0.0,NH3_to_EL_[LA]
KR,LA,,,32.6,0.0,NH3_to_HTH_[LA]
KR,LA,,,32.6,0.0,FF_to_HTH_[LA]
KR,LA,,,32.6,0.0,EL_Demand_[LA]
KR,LA,,,32.6,0.0,HTH_Demand_[LA]
KR,LA,,,32.6,0.0,NH3_Transport_[KR-LA]
KR,LA,,,32.6,6.6,EL_Transport_[KR-LA]
KR,LA,,,48.9,0.8,RE_PV_Rooftop_Lim_[KR]
