Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,9,9,1594
1,RE_PV_Rooftop_Lim,9,9,9
2,RE_PV_Openfield_Lim,9,9,9
3,RE_WIND_Onshore_Lim,9,9,9
4,RE_WIND_Offshore_Lim,9,9,9
5,PP_CO2,9,9,9
6,BESS,9,9,9
7,EL_to_HTH,9,9,9
8,EL_to_NH3,9,9,9
9,NH3_Storage,9,9,9
10,NH3_to_EL,9,9,9
11,NH3_to_HTH,9,9,9
12,FF_to_HTH,9,9,9
13,EL_Demand,9,9,9
14,HTH_Demand,9,9,9
15,RE_PV_Rooftop_Lim,0,0,0
16,RE_PV_Openfield_Lim,0,0,0
17,RE_WIND_Onshore_Lim,0,0,0
18,RE_WIND_Offshore_Lim,0,0,0
19,PP_CO2,0,0,0
20,BESS,0,0,0
21,EL_to_HTH,0,0,0
22,EL_to_NH3,0,0,0
23,NH3_Storage,0,0,0
24,NH3_to_EL,0,0,0
25,NH3_to_HTH,0,0,0
26,FF_to_HTH,0,0,0
27,EL_Demand,0,0,0
28,HTH_Demand,0,0,0
29,NH3_Transport,9,0,0
30,EL_Transport,9,0,0
