country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
VN,LA,,,0.0,0.0,NH3_Transport_[VN-LA]
VN,LA,,,0.0,0.3,EL_Transport_[VN-LA]
VN,LA,,,10.7,0.0,RE_PV_Rooftop_Lim_[VN]
VN,LA,,,10.7,1.4,RE_PV_Openfield_Lim_[VN]
VN,LA,,,10.7,9.9,RE_WIND_Onshore_Lim_[VN]
VN,LA,,,10.7,1.5,RE_WIND_Offshore_Lim_[VN]
VN,LA,,,10.7,0.0,PP_CO2_[VN]
VN,LA,,,10.7,0.9,BESS_[VN]
VN,LA,,,10.7,0.5,EL_to_HTH_[VN]
VN,LA,,,10.7,0.4,EL_to_NH3_[VN]
VN,LA,,,10.7,0.9,NH3_Storage_[VN]
VN,LA,,,10.7,0.4,NH3_to_EL_[VN]
VN,LA,,,10.7,0.0,NH3_to_HTH_[VN]
VN,LA,,,10.7,1.4,FF_to_HTH_[VN]
VN,LA,,,10.7,0.0,EL_Demand_[VN]
VN,LA,,,10.7,0.0,HTH_Demand_[VN]
VN,LA,,,10.7,0.0,RE_PV_Rooftop_Lim_[LA]
VN,LA,,,10.7,0.2,RE_PV_Openfield_Lim_[LA]
VN,LA,,,10.7,0.0,RE_WIND_Onshore_Lim_[LA]
VN,LA,,,10.7,0.0,RE_WIND_Offshore_Lim_[LA]
VN,LA,,,10.7,0.0,PP_CO2_[LA]
VN,LA,,,10.7,0.0,BESS_[LA]
VN,LA,,,10.7,0.0,EL_to_HTH_[LA]
VN,LA,,,10.7,0.1,EL_to_NH3_[LA]
VN,LA,,,10.7,0.6,NH3_Storage_[LA]
VN,LA,,,10.7,0.1,NH3_to_EL_[LA]
VN,LA,,,10.7,0.0,NH3_to_HTH_[LA]
VN,LA,,,10.7,0.0,FF_to_HTH_[LA]
VN,LA,,,10.7,0.0,EL_Demand_[LA]
VN,LA,,,10.7,0.0,HTH_Demand_[LA]
VN,LA,,,10.7,0.0,NH3_Transport_[VN-LA]
VN,LA,,,10.7,0.2,EL_Transport_[VN-LA]
VN,LA,,,21.4,0.0,RE_PV_Rooftop_Lim_[VN]
VN,LA,,,21.4,1.2,RE_PV_Openfield_Lim_[VN]
VN,LA,,,21.4,8.7,RE_WIND_Onshore_Lim_[VN]
VN,LA,,,21.4,1.9,RE_WIND_Offshore_Lim_[VN]
VN,LA,,,21.4,0.7,PP_CO2_[VN]
VN,LA,,,21.4,0.5,BESS_[VN]
VN,LA,,,21.4,0.5,EL_to_HTH_[VN]
VN,LA,,,21.4,0.2,EL_to_NH3_[VN]
VN,LA,,,21.4,0.5,NH3_Storage_[VN]
VN,LA,,,21.4,0.3,NH3_to_EL_[VN]
VN,LA,,,21.4,0.0,NH3_to_HTH_[VN]
VN,LA,,,21.4,1.9,FF_to_HTH_[VN]
VN,LA,,,21.4,0.0,EL_Demand_[VN]
VN,LA,,,21.4,0.0,HTH_Demand_[VN]
VN,LA,,,21.4,0.0,RE_PV_Rooftop_Lim_[LA]
VN,LA,,,21.4,0.1,RE_PV_Openfield_Lim_[LA]
VN,LA,,,21.4,0.0,RE_WIND_Onshore_Lim_[LA]
VN,LA,,,21.4,0.0,RE_WIND_Offshore_Lim_[LA]
VN,LA,,,21.4,0.1,PP_CO2_[LA]
VN,LA,,,21.4,0.0,BESS_[LA]
VN,LA,,,21.4,0.0,EL_to_HTH_[LA]
VN,LA,,,21.4,0.0,EL_to_NH3_[LA]
