country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,ID,KH,,167.6,0.0,RE_PV_Rooftop_Lim_[SG]
SG,ID,KH,,167.6,0.0,RE_PV_Openfield_Lim_[SG]
SG,ID,KH,,167.6,0.0,RE_WIND_Onshore_Lim_[SG]
SG,ID,KH,,167.6,0.0,RE_WIND_Offshore_Lim_[SG]
SG,ID,KH,,167.6,0.0,PP_CO2_[SG]
SG,ID,KH,,167.6,0.0,BESS_[SG]
SG,ID,KH,,167.6,0.1,EL_to_HTH_[SG]
SG,ID,KH,,167.6,0.0,EL_to_NH3_[SG]
SG,ID,KH,,167.6,0.0,NH3_Storage_[SG]
SG,ID,KH,,167.6,0.0,NH3_to_EL_[SG]
SG,ID,KH,,167.6,0.0,NH3_to_HTH_[SG]
SG,ID,KH,,167.6,0.5,FF_to_HTH_[SG]
SG,ID,KH,,167.6,0.0,EL_Demand_[SG]
SG,ID,KH,,167.6,0.0,HTH_Demand_[SG]
SG,ID,KH,,167.6,0.0,RE_PV_Rooftop_Lim_[KH]
SG,ID,KH,,167.6,0.4,RE_PV_Openfield_Lim_[KH]
SG,ID,KH,,167.6,2.0,RE_WIND_Onshore_Lim_[KH]
SG,ID,KH,,167.6,0.0,RE_WIND_Offshore_Lim_[KH]
SG,ID,KH,,167.6,0.1,PP_CO2_[KH]
SG,ID,KH,,167.6,0.1,BESS_[KH]
SG,ID,KH,,167.6,0.1,EL_to_HTH_[KH]
SG,ID,KH,,167.6,0.0,EL_to_NH3_[KH]
SG,ID,KH,,167.6,0.0,NH3_Storage_[KH]
SG,ID,KH,,167.6,0.0,NH3_to_EL_[KH]
SG,ID,KH,,167.6,0.0,NH3_to_HTH_[KH]
SG,ID,KH,,167.6,0.8,FF_to_HTH_[KH]
SG,ID,KH,,167.6,0.0,EL_Demand_[KH]
SG,ID,KH,,167.6,0.0,HTH_Demand_[KH]
SG,ID,KH,,167.6,0.0,RE_PV_Rooftop_Lim_[ID]
SG,ID,KH,,167.6,4.4,RE_PV_Openfield_Lim_[ID]
SG,ID,KH,,167.6,0.0,RE_WIND_Onshore_Lim_[ID]
SG,ID,KH,,167.6,17.5,RE_WIND_Offshore_Lim_[ID]
SG,ID,KH,,167.6,6.8,PP_CO2_[ID]
SG,ID,KH,,167.6,0.1,BESS_[ID]
SG,ID,KH,,167.6,1.3,EL_to_HTH_[ID]
SG,ID,KH,,167.6,0.0,EL_to_NH3_[ID]
SG,ID,KH,,167.6,0.0,NH3_Storage_[ID]
SG,ID,KH,,167.6,0.0,NH3_to_EL_[ID]
SG,ID,KH,,167.6,0.0,NH3_to_HTH_[ID]
