Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,3,3,1197
1,RE_PV_Rooftop_Lim,3,3,3
2,RE_PV_Openfield_Lim,3,3,3
3,RE_WIND_Onshore_Lim,3,3,3
4,RE_WIND_Offshore_Lim,3,3,3
5,PP_CO2,3,3,3
6,BESS,3,3,3
7,EL_to_HTH,3,3,3
8,EL_to_NH3,3,3,3
9,NH3_Storage,3,3,3
10,NH3_to_EL,3,3,3
11,NH3_to_HTH,3,3,3
12,FF_to_HTH,3,3,3
13,EL_Demand,3,3,3
14,HTH_Demand,3,3,3
15,RE_PV_Rooftop_Lim,0,0,0
16,RE_PV_Openfield_Lim,0,0,0
17,RE_WIND_Onshore_Lim,0,0,0
18,RE_WIND_Offshore_Lim,0,0,0
19,PP_CO2,0,0,0
20,BESS,0,0,0
21,EL_to_HTH,0,0,0
22,EL_to_NH3,0,0,0
23,NH3_Storage,0,0,0
24,NH3_to_EL,0,0,0
25,NH3_to_HTH,0,0,0
26,FF_to_HTH,0,0,0
27,EL_Demand,0,0,0
28,HTH_Demand,0,0,0
29,NH3_Transport,3,0,0
30,EL_Transport,3,0,0
