Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,8,8,519
1,RE_PV_Rooftop_Lim,8,8,8
2,RE_PV_Openfield_Lim,8,8,8
3,RE_WIND_Onshore_Lim,8,8,8
4,RE_WIND_Offshore_Lim,8,8,8
5,PP_CO2,8,8,8
6,BESS,8,8,0
7,EL_to_HTH,8,8,8
8,EL_to_NH3,8,8,0
9,NH3_Storage,8,8,0
10,NH3_to_EL,8,8,0
11,NH3_to_HTH,8,8,0
12,FF_to_HTH,8,8,8
13,EL_Demand,8,8,8
14,HTH_Demand,8,8,8
15,RE_PV_Rooftop_Lim,7,7,7
16,RE_PV_Openfield_Lim,7,7,7
17,RE_WIND_Onshore_Lim,7,7,7
18,RE_WIND_Offshore_Lim,7,7,7
19,PP_CO2,7,7,7
20,BESS,7,7,0
21,EL_to_HTH,7,7,7
22,EL_to_NH3,7,7,0
23,NH3_Storage,7,7,0
24,NH3_to_EL,7,7,0
25,NH3_to_HTH,7,7,0
26,FF_to_HTH,7,7,7
27,EL_Demand,7,7,7
28,HTH_Demand,7,7,7
29,RE_PV_Rooftop_Lim,9,9,9
30,RE_PV_Openfield_Lim,9,9,9
31,RE_WIND_Onshore_Lim,9,9,9
32,RE_WIND_Offshore_Lim,9,9,9
33,PP_CO2,9,9,9
34,BESS,9,9,0
35,EL_to_HTH,9,9,9
36,EL_to_NH3,9,9,0
37,NH3_Storage,9,9,0
38,NH3_to_EL,9,9,0
39,NH3_to_HTH,9,9,0
40,FF_to_HTH,9,9,9
41,EL_Demand,9,9,9
42,HTH_Demand,9,9,9
43,NH3_Transport,8,7,0
44,EL_Transport,8,7,0
45,NH3_Transport,8,9,0
46,EL_Transport,8,9,0
47,NH3_Transport,7,9,0
48,EL_Transport,7,9,0
