country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,TH,LA,,120.2,0.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,LA,,120.2,2.7,RE_PV_Openfield_Lim_[KR]
KR,TH,LA,,120.2,0.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,LA,,120.2,8.4,RE_WIND_Offshore_Lim_[KR]
KR,TH,LA,,120.2,7.1,PP_CO2_[KR]
KR,TH,LA,,120.2,1.1,BESS_[KR]
KR,TH,LA,,120.2,0.3,EL_to_HTH_[KR]
KR,TH,LA,,120.2,0.0,EL_to_NH3_[KR]
KR,TH,LA,,120.2,0.0,NH3_Storage_[KR]
KR,TH,LA,,120.2,0.0,NH3_to_EL_[KR]
KR,TH,LA,,120.2,0.0,NH3_to_HTH_[KR]
KR,TH,LA,,120.2,2.1,FF_to_HTH_[KR]
KR,TH,LA,,120.2,0.0,EL_Demand_[KR]
KR,TH,LA,,120.2,0.0,HTH_Demand_[KR]
KR,TH,LA,,120.2,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,LA,,120.2,2.3,RE_PV_Openfield_Lim_[TH]
KR,TH,LA,,120.2,7.8,RE_WIND_Onshore_Lim_[TH]
KR,TH,LA,,120.2,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,LA,,120.2,2.6,PP_CO2_[TH]
KR,TH,LA,,120.2,0.6,BESS_[TH]
KR,TH,LA,,120.2,0.4,EL_to_HTH_[TH]
KR,TH,LA,,120.2,0.0,EL_to_NH3_[TH]
KR,TH,LA,,120.2,0.0,NH3_Storage_[TH]
KR,TH,LA,,120.2,0.0,NH3_to_EL_[TH]
KR,TH,LA,,120.2,0.0,NH3_to_HTH_[TH]
KR,TH,LA,,120.2,2.3,FF_to_HTH_[TH]
KR,TH,LA,,120.2,0.0,EL_Demand_[TH]
KR,TH,LA,,120.2,0.0,HTH_Demand_[TH]
KR,TH,LA,,120.2,0.0,RE_PV_Rooftop_Lim_[LA]
KR,TH,LA,,120.2,0.1,RE_PV_Openfield_Lim_[LA]
KR,TH,LA,,120.2,0.2,RE_WIND_Onshore_Lim_[LA]
KR,TH,LA,,120.2,0.0,RE_WIND_Offshore_Lim_[LA]
KR,TH,LA,,120.2,0.1,PP_CO2_[LA]
KR,TH,LA,,120.2,0.0,BESS_[LA]
KR,TH,LA,,120.2,0.0,EL_to_HTH_[LA]
KR,TH,LA,,120.2,0.0,EL_to_NH3_[LA]
KR,TH,LA,,120.2,0.0,NH3_Storage_[LA]
KR,TH,LA,,120.2,0.0,NH3_to_EL_[LA]
KR,TH,LA,,120.2,0.0,NH3_to_HTH_[LA]
KR,TH,LA,,120.2,0.0,FF_to_HTH_[LA]
KR,TH,LA,,120.2,0.0,EL_Demand_[LA]
KR,TH,LA,,120.2,0.0,HTH_Demand_[LA]
KR,TH,LA,,60.1,0.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,LA,,60.1,2.7,RE_PV_Openfield_Lim_[KR]
KR,TH,LA,,60.1,0.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,LA,,60.1,13.0,RE_WIND_Offshore_Lim_[KR]
KR,TH,LA,,60.1,3.2,PP_CO2_[KR]
KR,TH,LA,,60.1,3.5,BESS_[KR]
KR,TH,LA,,60.1,0.3,EL_to_HTH_[KR]
KR,TH,LA,,60.1,0.5,EL_to_NH3_[KR]
KR,TH,LA,,60.1,0.8,NH3_Storage_[KR]
KR,TH,LA,,60.1,0.3,NH3_to_EL_[KR]
KR,TH,LA,,60.1,0.0,NH3_to_HTH_[KR]
KR,TH,LA,,60.1,1.6,FF_to_HTH_[KR]
KR,TH,LA,,60.1,0.0,EL_Demand_[KR]
KR,TH,LA,,60.1,0.0,HTH_Demand_[KR]
KR,TH,LA,,60.1,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,LA,,60.1,3.0,RE_PV_Openfield_Lim_[TH]
KR,TH,LA,,60.1,9.3,RE_WIND_Onshore_Lim_[TH]
KR,TH,LA,,60.1,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,LA,,60.1,1.3,PP_CO2_[TH]
KR,TH,LA,,60.1,1.6,BESS_[TH]
KR,TH,LA,,60.1,0.4,EL_to_HTH_[TH]
KR,TH,LA,,60.1,0.1,EL_to_NH3_[TH]
KR,TH,LA,,60.1,0.1,NH3_Storage_[TH]
KR,TH,LA,,60.1,0.1,NH3_to_EL_[TH]
KR,TH,LA,,60.1,0.0,NH3_to_HTH_[TH]
KR,TH,LA,,60.1,1.6,FF_to_HTH_[TH]
KR,TH,LA,,60.1,0.0,EL_Demand_[TH]
KR,TH,LA,,60.1,0.0,HTH_Demand_[TH]
KR,TH,LA,,60.1,0.0,RE_PV_Rooftop_Lim_[LA]
KR,TH,LA,,60.1,0.1,RE_PV_Openfield_Lim_[LA]
KR,TH,LA,,60.1,0.2,RE_WIND_Onshore_Lim_[LA]
KR,TH,LA,,60.1,0.0,RE_WIND_Offshore_Lim_[LA]
KR,TH,LA,,60.1,0.0,PP_CO2_[LA]
KR,TH,LA,,60.1,0.0,BESS_[LA]
KR,TH,LA,,60.1,0.0,EL_to_HTH_[LA]
KR,TH,LA,,60.1,0.0,EL_to_NH3_[LA]
KR,TH,LA,,60.1,0.0,NH3_Storage_[LA]
KR,TH,LA,,60.1,0.0,NH3_to_EL_[LA]
KR,TH,LA,,60.1,0.0,NH3_to_HTH_[LA]
KR,TH,LA,,60.1,0.0,FF_to_HTH_[LA]
KR,TH,LA,,60.1,0.0,EL_Demand_[LA]
KR,TH,LA,,60.1,0.0,HTH_Demand_[LA]
KR,TH,LA,,0.0,0.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,LA,,0.0,2.7,RE_PV_Openfield_Lim_[KR]
KR,TH,LA,,0.0,2.4,RE_WIND_Onshore_Lim_[KR]
KR,TH,LA,,0.0,16.1,RE_WIND_Offshore_Lim_[KR]
KR,TH,LA,,0.0,0.0,PP_CO2_[KR]
KR,TH,LA,,0.0,4.2,BESS_[KR]
KR,TH,LA,,0.0,0.3,EL_to_HTH_[KR]
KR,TH,LA,,0.0,2.6,EL_to_NH3_[KR]
KR,TH,LA,,0.0,9.4,NH3_Storage_[KR]
KR,TH,LA,,0.0,0.9,NH3_to_EL_[KR]
KR,TH,LA,,0.0,0.1,NH3_to_HTH_[KR]
KR,TH,LA,,0.0,0.0,FF_to_HTH_[KR]
KR,TH,LA,,0.0,0.0,EL_Demand_[KR]
KR,TH,LA,,0.0,0.0,HTH_Demand_[KR]
KR,TH,LA,,0.0,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,LA,,0.0,4.2,RE_PV_Openfield_Lim_[TH]
KR,TH,LA,,0.0,13.1,RE_WIND_Onshore_Lim_[TH]
KR,TH,LA,,0.0,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,LA,,0.0,0.0,PP_CO2_[TH]
KR,TH,LA,,0.0,2.6,BESS_[TH]
KR,TH,LA,,0.0,0.4,EL_to_HTH_[TH]
KR,TH,LA,,0.0,0.4,EL_to_NH3_[TH]
KR,TH,LA,,0.0,3.7,NH3_Storage_[TH]
KR,TH,LA,,0.0,0.3,NH3_to_EL_[TH]
KR,TH,LA,,0.0,0.1,NH3_to_HTH_[TH]
KR,TH,LA,,0.0,0.0,FF_to_HTH_[TH]
KR,TH,LA,,0.0,0.0,EL_Demand_[TH]
KR,TH,LA,,0.0,0.0,HTH_Demand_[TH]
KR,TH,LA,,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
KR,TH,LA,,0.0,0.1,RE_PV_Openfield_Lim_[LA]
KR,TH,LA,,0.0,0.2,RE_WIND_Onshore_Lim_[LA]
KR,TH,LA,,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
KR,TH,LA,,0.0,0.0,PP_CO2_[LA]
KR,TH,LA,,0.0,0.1,BESS_[LA]
KR,TH,LA,,0.0,0.0,EL_to_HTH_[LA]
KR,TH,LA,,0.0,0.0,EL_to_NH3_[LA]
KR,TH,LA,,0.0,0.1,NH3_Storage_[LA]
KR,TH,LA,,0.0,0.0,NH3_to_EL_[LA]
KR,TH,LA,,0.0,0.0,NH3_to_HTH_[LA]
KR,TH,LA,,0.0,0.0,FF_to_HTH_[LA]
KR,TH,LA,,0.0,0.0,EL_Demand_[LA]
KR,TH,LA,,0.0,0.0,HTH_Demand_[LA]
KR,TH,LA,,22.5,0.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,LA,,22.5,2.7,RE_PV_Openfield_Lim_[KR]
KR,TH,LA,,22.5,0.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,LA,,22.5,15.8,RE_WIND_Offshore_Lim_[KR]
KR,TH,LA,,22.5,0.6,PP_CO2_[KR]
KR,TH,LA,,22.5,4.1,BESS_[KR]
KR,TH,LA,,22.5,0.3,EL_to_HTH_[KR]
KR,TH,LA,,22.5,2.0,EL_to_NH3_[KR]
KR,TH,LA,,22.5,3.5,NH3_Storage_[KR]
KR,TH,LA,,22.5,0.8,NH3_to_EL_[KR]
KR,TH,LA,,22.5,0.0,NH3_to_HTH_[KR]
KR,TH,LA,,22.5,1.1,FF_to_HTH_[KR]
KR,TH,LA,,22.5,0.0,EL_Demand_[KR]
KR,TH,LA,,22.5,0.0,HTH_Demand_[KR]
KR,TH,LA,,22.5,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,LA,,22.5,3.2,RE_PV_Openfield_Lim_[TH]
KR,TH,LA,,22.5,10.9,RE_WIND_Onshore_Lim_[TH]
KR,TH,LA,,22.5,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,LA,,22.5,0.4,PP_CO2_[TH]
KR,TH,LA,,22.5,1.8,BESS_[TH]
KR,TH,LA,,22.5,0.4,EL_to_HTH_[TH]
KR,TH,LA,,22.5,0.6,EL_to_NH3_[TH]
KR,TH,LA,,22.5,1.1,NH3_Storage_[TH]
KR,TH,LA,,22.5,0.4,NH3_to_EL_[TH]
KR,TH,LA,,22.5,0.0,NH3_to_HTH_[TH]
KR,TH,LA,,22.5,1.0,FF_to_HTH_[TH]
KR,TH,LA,,22.5,0.0,EL_Demand_[TH]
KR,TH,LA,,22.5,0.0,HTH_Demand_[TH]
KR,TH,LA,,22.5,0.0,RE_PV_Rooftop_Lim_[LA]
KR,TH,LA,,22.5,0.1,RE_PV_Openfield_Lim_[LA]
KR,TH,LA,,22.5,0.2,RE_WIND_Onshore_Lim_[LA]
KR,TH,LA,,22.5,0.0,RE_WIND_Offshore_Lim_[LA]
KR,TH,LA,,22.5,0.0,PP_CO2_[LA]
KR,TH,LA,,22.5,0.1,BESS_[LA]
KR,TH,LA,,22.5,0.0,EL_to_HTH_[LA]
KR,TH,LA,,22.5,0.0,EL_to_NH3_[LA]
KR,TH,LA,,22.5,0.0,NH3_Storage_[LA]
KR,TH,LA,,22.5,0.0,NH3_to_EL_[LA]
KR,TH,LA,,22.5,0.0,NH3_to_HTH_[LA]
KR,TH,LA,,22.5,0.0,FF_to_HTH_[LA]
KR,TH,LA,,22.5,0.0,EL_Demand_[LA]
KR,TH,LA,,22.5,0.0,HTH_Demand_[LA]
KR,TH,LA,,45.0,0.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,LA,,45.0,2.7,RE_PV_Openfield_Lim_[KR]
KR,TH,LA,,45.0,0.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,LA,,45.0,14.0,RE_WIND_Offshore_Lim_[KR]
KR,TH,LA,,45.0,1.8,PP_CO2_[KR]
KR,TH,LA,,45.0,4.0,BESS_[KR]
KR,TH,LA,,45.0,0.3,EL_to_HTH_[KR]
KR,TH,LA,,45.0,1.3,EL_to_NH3_[KR]
KR,TH,LA,,45.0,1.9,NH3_Storage_[KR]
KR,TH,LA,,45.0,0.6,NH3_to_EL_[KR]
KR,TH,LA,,45.0,0.0,NH3_to_HTH_[KR]
KR,TH,LA,,45.0,1.5,FF_to_HTH_[KR]
KR,TH,LA,,45.0,0.0,EL_Demand_[KR]
KR,TH,LA,,45.0,0.0,HTH_Demand_[KR]
KR,TH,LA,,45.0,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,LA,,45.0,2.9,RE_PV_Openfield_Lim_[TH]
KR,TH,LA,,45.0,9.7,RE_WIND_Onshore_Lim_[TH]
KR,TH,LA,,45.0,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,LA,,45.0,1.2,PP_CO2_[TH]
KR,TH,LA,,45.0,1.6,BESS_[TH]
KR,TH,LA,,45.0,0.4,EL_to_HTH_[TH]
KR,TH,LA,,45.0,0.1,EL_to_NH3_[TH]
KR,TH,LA,,45.0,0.2,NH3_Storage_[TH]
KR,TH,LA,,45.0,0.1,NH3_to_EL_[TH]
KR,TH,LA,,45.0,0.0,NH3_to_HTH_[TH]
KR,TH,LA,,45.0,1.5,FF_to_HTH_[TH]
KR,TH,LA,,45.0,0.0,EL_Demand_[TH]
KR,TH,LA,,45.0,0.0,HTH_Demand_[TH]
KR,TH,LA,,45.0,0.0,RE_PV_Rooftop_Lim_[LA]
KR,TH,LA,,45.0,0.1,RE_PV_Openfield_Lim_[LA]
KR,TH,LA,,45.0,0.2,RE_WIND_Onshore_Lim_[LA]
KR,TH,LA,,45.0,0.0,RE_WIND_Offshore_Lim_[LA]
KR,TH,LA,,45.0,0.0,PP_CO2_[LA]
KR,TH,LA,,45.0,0.1,BESS_[LA]
KR,TH,LA,,45.0,0.0,EL_to_HTH_[LA]
KR,TH,LA,,45.0,0.0,EL_to_NH3_[LA]
KR,TH,LA,,45.0,0.0,NH3_Storage_[LA]
KR,TH,LA,,45.0,0.0,NH3_to_EL_[LA]
KR,TH,LA,,45.0,0.0,NH3_to_HTH_[LA]
KR,TH,LA,,45.0,0.0,FF_to_HTH_[LA]
KR,TH,LA,,45.0,0.0,EL_Demand_[LA]
KR,TH,LA,,45.0,0.0,HTH_Demand_[LA]
KR,TH,LA,,67.5,0.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,LA,,67.5,2.7,RE_PV_Openfield_Lim_[KR]
KR,TH,LA,,67.5,0.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,LA,,67.5,12.3,RE_WIND_Offshore_Lim_[KR]
KR,TH,LA,,67.5,3.9,PP_CO2_[KR]
KR,TH,LA,,67.5,3.2,BESS_[KR]
KR,TH,LA,,67.5,0.3,EL_to_HTH_[KR]
KR,TH,LA,,67.5,0.3,EL_to_NH3_[KR]
KR,TH,LA,,67.5,0.4,NH3_Storage_[KR]
KR,TH,LA,,67.5,0.2,NH3_to_EL_[KR]
KR,TH,LA,,67.5,0.0,NH3_to_HTH_[KR]
KR,TH,LA,,67.5,1.7,FF_to_HTH_[KR]
KR,TH,LA,,67.5,0.0,EL_Demand_[KR]
KR,TH,LA,,67.5,0.0,HTH_Demand_[KR]
KR,TH,LA,,67.5,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,LA,,67.5,2.9,RE_PV_Openfield_Lim_[TH]
KR,TH,LA,,67.5,9.1,RE_WIND_Onshore_Lim_[TH]
KR,TH,LA,,67.5,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,LA,,67.5,1.4,PP_CO2_[TH]
KR,TH,LA,,67.5,1.4,BESS_[TH]
KR,TH,LA,,67.5,0.4,EL_to_HTH_[TH]
KR,TH,LA,,67.5,0.1,EL_to_NH3_[TH]
KR,TH,LA,,67.5,0.1,NH3_Storage_[TH]
KR,TH,LA,,67.5,0.1,NH3_to_EL_[TH]
KR,TH,LA,,67.5,0.0,NH3_to_HTH_[TH]
KR,TH,LA,,67.5,1.6,FF_to_HTH_[TH]
KR,TH,LA,,67.5,0.0,EL_Demand_[TH]
KR,TH,LA,,67.5,0.0,HTH_Demand_[TH]
KR,TH,LA,,67.5,0.0,RE_PV_Rooftop_Lim_[LA]
KR,TH,LA,,67.5,0.1,RE_PV_Openfield_Lim_[LA]
KR,TH,LA,,67.5,0.2,RE_WIND_Onshore_Lim_[LA]
KR,TH,LA,,67.5,0.0,RE_WIND_Offshore_Lim_[LA]
KR,TH,LA,,67.5,0.0,PP_CO2_[LA]
KR,TH,LA,,67.5,0.0,BESS_[LA]
KR,TH,LA,,67.5,0.0,EL_to_HTH_[LA]
KR,TH,LA,,67.5,0.0,EL_to_NH3_[LA]
KR,TH,LA,,67.5,0.0,NH3_Storage_[LA]
KR,TH,LA,,67.5,0.0,NH3_to_EL_[LA]
KR,TH,LA,,67.5,0.0,NH3_to_HTH_[LA]
KR,TH,LA,,67.5,0.0,FF_to_HTH_[LA]
KR,TH,LA,,67.5,0.0,EL_Demand_[LA]
KR,TH,LA,,67.5,0.0,HTH_Demand_[LA]
KR,TH,LA,,90.0,0.0,RE_PV_Rooftop_Lim_[KR]
KR,TH,LA,,90.0,2.7,RE_PV_Openfield_Lim_[KR]
KR,TH,LA,,90.0,0.0,RE_WIND_Onshore_Lim_[KR]
KR,TH,LA,,90.0,10.5,RE_WIND_Offshore_Lim_[KR]
KR,TH,LA,,90.0,5.4,PP_CO2_[KR]
KR,TH,LA,,90.0,2.4,BESS_[KR]
KR,TH,LA,,90.0,0.3,EL_to_HTH_[KR]
KR,TH,LA,,90.0,0.0,EL_to_NH3_[KR]
KR,TH,LA,,90.0,0.0,NH3_Storage_[KR]
KR,TH,LA,,90.0,0.0,NH3_to_EL_[KR]
KR,TH,LA,,90.0,0.0,NH3_to_HTH_[KR]
KR,TH,LA,,90.0,1.9,FF_to_HTH_[KR]
KR,TH,LA,,90.0,0.0,EL_Demand_[KR]
KR,TH,LA,,90.0,0.0,HTH_Demand_[KR]
KR,TH,LA,,90.0,0.0,RE_PV_Rooftop_Lim_[TH]
KR,TH,LA,,90.0,2.5,RE_PV_Openfield_Lim_[TH]
KR,TH,LA,,90.0,8.7,RE_WIND_Onshore_Lim_[TH]
KR,TH,LA,,90.0,0.0,RE_WIND_Offshore_Lim_[TH]
KR,TH,LA,,90.0,1.9,PP_CO2_[TH]
KR,TH,LA,,90.0,1.0,BESS_[TH]
KR,TH,LA,,90.0,0.4,EL_to_HTH_[TH]
KR,TH,LA,,90.0,0.0,EL_to_NH3_[TH]
KR,TH,LA,,90.0,0.0,NH3_Storage_[TH]
KR,TH,LA,,90.0,0.0,NH3_to_EL_[TH]
KR,TH,LA,,90.0,0.0,NH3_to_HTH_[TH]
KR,TH,LA,,90.0,2.0,FF_to_HTH_[TH]
KR,TH,LA,,90.0,0.0,EL_Demand_[TH]
KR,TH,LA,,90.0,0.0,HTH_Demand_[TH]
KR,TH,LA,,90.0,0.0,RE_PV_Rooftop_Lim_[LA]
KR,TH,LA,,90.0,0.1,RE_PV_Openfield_Lim_[LA]
KR,TH,LA,,90.0,0.2,RE_WIND_Onshore_Lim_[LA]
KR,TH,LA,,90.0,0.0,RE_WIND_Offshore_Lim_[LA]
KR,TH,LA,,90.0,0.1,PP_CO2_[LA]
KR,TH,LA,,90.0,0.0,BESS_[LA]
KR,TH,LA,,90.0,0.0,EL_to_HTH_[LA]
KR,TH,LA,,90.0,0.0,EL_to_NH3_[LA]
KR,TH,LA,,90.0,0.0,NH3_Storage_[LA]
KR,TH,LA,,90.0,0.0,NH3_to_EL_[LA]
KR,TH,LA,,90.0,0.0,NH3_to_HTH_[LA]
KR,TH,LA,,90.0,0.0,FF_to_HTH_[LA]
