country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
KR,LA,,,96.8,0.8,RE_PV_Rooftop_Lim_[KR]
KR,LA,,,96.8,2.1,RE_PV_Openfield_Lim_[KR]
KR,LA,,,96.8,0.9,RE_WIND_Onshore_Lim_[KR]
KR,LA,,,96.8,12.1,RE_WIND_Offshore_Lim_[KR]
KR,LA,,,96.8,7.6,PP_CO2_[KR]
KR,LA,,,96.8,2.9,BESS_[KR]
KR,LA,,,96.8,0.3,EL_to_HTH_[KR]
KR,LA,,,96.8,0.0,EL_to_NH3_[KR]
KR,LA,,,96.8,0.0,NH3_Storage_[KR]
KR,LA,,,96.8,0.0,NH3_to_EL_[KR]
KR,LA,,,96.8,0.0,NH3_to_HTH_[KR]
KR,LA,,,96.8,2.6,FF_to_HTH_[KR]
KR,LA,,,96.8,0.0,EL_Demand_[KR]
KR,LA,,,96.8,0.0,HTH_Demand_[KR]
KR,LA,,,96.8,0.0,RE_PV_Rooftop_Lim_[LA]
KR,LA,,,96.8,0.1,RE_PV_Openfield_Lim_[LA]
KR,LA,,,96.8,0.2,RE_WIND_Onshore_Lim_[LA]
KR,LA,,,96.8,0.0,RE_WIND_Offshore_Lim_[LA]
KR,LA,,,96.8,0.0,PP_CO2_[LA]
KR,LA,,,96.8,0.0,BESS_[LA]
KR,LA,,,96.8,0.0,EL_to_HTH_[LA]
KR,LA,,,96.8,0.0,EL_to_NH3_[LA]
KR,LA,,,96.8,0.0,NH3_Storage_[LA]
KR,LA,,,96.8,0.0,NH3_to_EL_[LA]
KR,LA,,,96.8,0.0,NH3_to_HTH_[LA]
KR,LA,,,96.8,0.0,FF_to_HTH_[LA]
KR,LA,,,96.8,0.0,EL_Demand_[LA]
KR,LA,,,96.8,0.0,HTH_Demand_[LA]
KR,LA,,,64.6,0.8,RE_PV_Rooftop_Lim_[KR]
KR,LA,,,64.6,2.1,RE_PV_Openfield_Lim_[KR]
KR,LA,,,64.6,0.9,RE_WIND_Onshore_Lim_[KR]
KR,LA,,,64.6,17.4,RE_WIND_Offshore_Lim_[KR]
KR,LA,,,64.6,4.9,PP_CO2_[KR]
KR,LA,,,64.6,5.8,BESS_[KR]
KR,LA,,,64.6,0.3,EL_to_HTH_[KR]
KR,LA,,,64.6,0.0,EL_to_NH3_[KR]
KR,LA,,,64.6,0.0,NH3_Storage_[KR]
KR,LA,,,64.6,0.0,NH3_to_EL_[KR]
KR,LA,,,64.6,0.0,NH3_to_HTH_[KR]
KR,LA,,,64.6,2.3,FF_to_HTH_[KR]
KR,LA,,,64.6,0.0,EL_Demand_[KR]
KR,LA,,,64.6,0.0,HTH_Demand_[KR]
KR,LA,,,64.6,0.0,RE_PV_Rooftop_Lim_[LA]
KR,LA,,,64.6,0.1,RE_PV_Openfield_Lim_[LA]
KR,LA,,,64.6,0.2,RE_WIND_Onshore_Lim_[LA]
KR,LA,,,64.6,0.0,RE_WIND_Offshore_Lim_[LA]
KR,LA,,,64.6,0.0,PP_CO2_[LA]
KR,LA,,,64.6,0.1,BESS_[LA]
KR,LA,,,64.6,0.0,EL_to_HTH_[LA]
KR,LA,,,64.6,0.0,EL_to_NH3_[LA]
KR,LA,,,64.6,0.0,NH3_Storage_[LA]
KR,LA,,,64.6,0.0,NH3_to_EL_[LA]
KR,LA,,,64.6,0.0,NH3_to_HTH_[LA]
KR,LA,,,64.6,0.0,FF_to_HTH_[LA]
KR,LA,,,64.6,0.0,EL_Demand_[LA]
KR,LA,,,64.6,0.0,HTH_Demand_[LA]
KR,LA,,,32.3,0.8,RE_PV_Rooftop_Lim_[KR]
KR,LA,,,32.3,2.1,RE_PV_Openfield_Lim_[KR]
KR,LA,,,32.3,0.9,RE_WIND_Onshore_Lim_[KR]
KR,LA,,,32.3,22.9,RE_WIND_Offshore_Lim_[KR]
KR,LA,,,32.3,1.7,PP_CO2_[KR]
KR,LA,,,32.3,8.9,BESS_[KR]
KR,LA,,,32.3,0.3,EL_to_HTH_[KR]
KR,LA,,,32.3,1.2,EL_to_NH3_[KR]
KR,LA,,,32.3,1.7,NH3_Storage_[KR]
KR,LA,,,32.3,0.3,NH3_to_EL_[KR]
KR,LA,,,32.3,0.0,NH3_to_HTH_[KR]
KR,LA,,,32.3,1.9,FF_to_HTH_[KR]
KR,LA,,,32.3,0.0,EL_Demand_[KR]
KR,LA,,,32.3,0.0,HTH_Demand_[KR]
KR,LA,,,32.3,0.0,RE_PV_Rooftop_Lim_[LA]
KR,LA,,,32.3,0.1,RE_PV_Openfield_Lim_[LA]
KR,LA,,,32.3,0.2,RE_WIND_Onshore_Lim_[LA]
KR,LA,,,32.3,0.0,RE_WIND_Offshore_Lim_[LA]
KR,LA,,,32.3,0.0,PP_CO2_[LA]
KR,LA,,,32.3,0.1,BESS_[LA]
KR,LA,,,32.3,0.0,EL_to_HTH_[LA]
KR,LA,,,32.3,0.0,EL_to_NH3_[LA]
KR,LA,,,32.3,0.0,NH3_Storage_[LA]
KR,LA,,,32.3,0.0,NH3_to_EL_[LA]
KR,LA,,,32.3,0.0,NH3_to_HTH_[LA]
KR,LA,,,32.3,0.0,FF_to_HTH_[LA]
KR,LA,,,32.3,0.0,EL_Demand_[LA]
KR,LA,,,32.3,0.0,HTH_Demand_[LA]
KR,LA,,,0.0,0.8,RE_PV_Rooftop_Lim_[KR]
KR,LA,,,0.0,2.1,RE_PV_Openfield_Lim_[KR]
KR,LA,,,0.0,0.9,RE_WIND_Onshore_Lim_[KR]
KR,LA,,,0.0,33.0,RE_WIND_Offshore_Lim_[KR]
KR,LA,,,0.0,0.0,PP_CO2_[KR]
KR,LA,,,0.0,7.9,BESS_[KR]
KR,LA,,,0.0,0.3,EL_to_HTH_[KR]
KR,LA,,,0.0,3.6,EL_to_NH3_[KR]
KR,LA,,,0.0,9.4,NH3_Storage_[KR]
KR,LA,,,0.0,0.7,NH3_to_EL_[KR]
KR,LA,,,0.0,0.1,NH3_to_HTH_[KR]
KR,LA,,,0.0,0.0,FF_to_HTH_[KR]
KR,LA,,,0.0,0.0,EL_Demand_[KR]
KR,LA,,,0.0,0.0,HTH_Demand_[KR]
KR,LA,,,0.0,0.0,RE_PV_Rooftop_Lim_[LA]
KR,LA,,,0.0,0.1,RE_PV_Openfield_Lim_[LA]
KR,LA,,,0.0,0.2,RE_WIND_Onshore_Lim_[LA]
KR,LA,,,0.0,0.0,RE_WIND_Offshore_Lim_[LA]
KR,LA,,,0.0,0.0,PP_CO2_[LA]
KR,LA,,,0.0,0.1,BESS_[LA]
KR,LA,,,0.0,0.0,EL_to_HTH_[LA]
KR,LA,,,0.0,0.0,EL_to_NH3_[LA]
KR,LA,,,0.0,0.1,NH3_Storage_[LA]
KR,LA,,,0.0,0.0,NH3_to_EL_[LA]
KR,LA,,,0.0,0.0,NH3_to_HTH_[LA]
KR,LA,,,0.0,0.0,FF_to_HTH_[LA]
KR,LA,,,0.0,0.0,EL_Demand_[LA]
KR,LA,,,0.0,0.0,HTH_Demand_[LA]
KR,LA,,,16.3,0.8,RE_PV_Rooftop_Lim_[KR]
KR,LA,,,16.3,2.1,RE_PV_Openfield_Lim_[KR]
KR,LA,,,16.3,0.9,RE_WIND_Onshore_Lim_[KR]
KR,LA,,,16.3,27.7,RE_WIND_Offshore_Lim_[KR]
KR,LA,,,16.3,0.6,PP_CO2_[KR]
KR,LA,,,16.3,7.2,BESS_[KR]
KR,LA,,,16.3,0.3,EL_to_HTH_[KR]
KR,LA,,,16.3,2.7,EL_to_NH3_[KR]
KR,LA,,,16.3,3.8,NH3_Storage_[KR]
KR,LA,,,16.3,0.8,NH3_to_EL_[KR]
KR,LA,,,16.3,0.0,NH3_to_HTH_[KR]
KR,LA,,,16.3,1.3,FF_to_HTH_[KR]
KR,LA,,,16.3,0.0,EL_Demand_[KR]
KR,LA,,,16.3,0.0,HTH_Demand_[KR]
KR,LA,,,16.3,0.0,RE_PV_Rooftop_Lim_[LA]
KR,LA,,,16.3,0.1,RE_PV_Openfield_Lim_[LA]
KR,LA,,,16.3,0.2,RE_WIND_Onshore_Lim_[LA]
KR,LA,,,16.3,0.0,RE_WIND_Offshore_Lim_[LA]
KR,LA,,,16.3,0.0,PP_CO2_[LA]
KR,LA,,,16.3,0.1,BESS_[LA]
KR,LA,,,16.3,0.0,EL_to_HTH_[LA]
KR,LA,,,16.3,0.0,EL_to_NH3_[LA]
KR,LA,,,16.3,0.0,NH3_Storage_[LA]
KR,LA,,,16.3,0.0,NH3_to_EL_[LA]
KR,LA,,,16.3,0.0,NH3_to_HTH_[LA]
KR,LA,,,16.3,0.0,FF_to_HTH_[LA]
KR,LA,,,16.3,0.0,EL_Demand_[LA]
KR,LA,,,16.3,0.0,HTH_Demand_[LA]
KR,LA,,,32.6,0.8,RE_PV_Rooftop_Lim_[KR]
KR,LA,,,32.6,2.1,RE_PV_Openfield_Lim_[KR]
KR,LA,,,32.6,0.9,RE_WIND_Onshore_Lim_[KR]
KR,LA,,,32.6,22.8,RE_WIND_Offshore_Lim_[KR]
KR,LA,,,32.6,1.8,PP_CO2_[KR]
KR,LA,,,32.6,8.9,BESS_[KR]
KR,LA,,,32.6,0.3,EL_to_HTH_[KR]
KR,LA,,,32.6,1.2,EL_to_NH3_[KR]
KR,LA,,,32.6,1.7,NH3_Storage_[KR]
KR,LA,,,32.6,0.3,NH3_to_EL_[KR]
KR,LA,,,32.6,0.0,NH3_to_HTH_[KR]
KR,LA,,,32.6,1.9,FF_to_HTH_[KR]
KR,LA,,,32.6,0.0,EL_Demand_[KR]
KR,LA,,,32.6,0.0,HTH_Demand_[KR]
KR,LA,,,32.6,0.0,RE_PV_Rooftop_Lim_[LA]
KR,LA,,,32.6,0.1,RE_PV_Openfield_Lim_[LA]
KR,LA,,,32.6,0.2,RE_WIND_Onshore_Lim_[LA]
KR,LA,,,32.6,0.0,RE_WIND_Offshore_Lim_[LA]
KR,LA,,,32.6,0.0,PP_CO2_[LA]
KR,LA,,,32.6,0.1,BESS_[LA]
